it.en,1,2,3,4,5,6,7,8
1,0.16666666666666666,0.0,0.0,0.0,0.0,0.21875,0.03225806451612903,0.09375
2,0.05555555555555555,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
3,0.045454545454545456,0.0,0.0,0.0,0.0,0.08,0.0,0.09523809523809523
4,0.047619047619047616,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
5,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0,0.06818181818181818,0.02564102564102564,0.075
6,0.016666666666666666,0.05454545454545454,0.017857142857142856,0.05454545454545454,0.0,0.015625,0.0,0.0
7,0.0,0.10526315789473684,0.0,0.05,0.05555555555555555,0.0,0.05,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.03571428571428571,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
13,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0
