it.en,1,2,3,4,5,6,7,8
1,0.37962830118264823,0.0,0.0,0.0,0.0,0.33275613232308116,0.06482037235521643,0.19026059766179762
2,0.10540925533894598,0.0,0.0,0.0,0.0,0.08084520834544433,0.0,0.0
3,0.08770580193070293,0.0,0.0,0.0,0.0,0.13453455879926252,0.0,0.2307692307692308
4,0.09128709291752768,0.0,0.0,0.0,0.0,0.140028008402801,0.0,0.0
5,0.21081851067789195,0.0629940788348712,0.0,0.0,0.0,0.1212678125181665,0.0629940788348712,0.18490006540840973
6,0.07505866250408019,0.22428065200812844,0.14535047493345285,0.13456839120487707,0.0,0.05756736625034041,0.0,0.0
7,0.0,0.20203050891044214,0.0,0.10101525445522107,0.11952286093343936,0.0,0.10101525445522107,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.14625448482542613,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.07254762501100116,0.17342199390482396,0.0936585811581694,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.09166984970282112,0.0,0.0,0.0,0.0,0.0,0.0
