it.en,1,2,3,4,5,6,7,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.11363636363636363,0.019230769230769232,0.0,0.046511627906976744,0.02564102564102564,0.04477611940298507,0.02040816326530612,0.02040816326530612
4,0.1111111111111111,0.0,0.0,0.0,0.0,0.025,0.0,0.05
5,0.0,0.027777777777777776,0.0,0.0,0.0,0.018867924528301886,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.034482758620689655,0.0,0.0,0.08333333333333333,0.05,0.02,0.0,0.0
8,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
9,0.03636363636363636,0.03389830508474576,0.0,0.019230769230769232,0.02127659574468085,0.04,0.0,0.017543859649122806
10,0.047619047619047616,0.04,0.0,0.0,0.0,0.0,0.21052631578947367,0.09523809523809523
11,0.0,0.0,0.0,0.0,0.07692307692307693,0.023255813953488372,0.043478260869565216,0.0
12,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0
13,0.06896551724137931,0.029411764705882353,0.0,0.038461538461538464,0.047619047619047616,0.061224489795918366,0.0,0.14285714285714285
14,0.027777777777777776,0.0,0.03225806451612903,0.0,0.0,0.03571428571428571,0.0,0.0
15,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
16,0.043478260869565216,0.04,0.023809523809523808,0.023255813953488372,0.05405405405405406,0.09523809523809523,0.020833333333333332,0.0
