it.en,1,2,3,4,5,6,7,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.25809270060438194,0.03823595564509363,0.0,0.10259783520851541,0.07254762501100116,0.076004188790721,0.03823595564509363,0.041885390829169554
4,0.14433756729740646,0.0,0.0,0.0,0.0,0.06375767130633384,0.0,0.10540925533894598
5,0.0,0.050251890762960605,0.0,0.0,0.0,0.03329635791060134,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.17677669529663687,0.0,0.0,0.15811388300841897,0.11180339887498948,0.03904344047215152,0.0,0.0
8,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.07453559924999299,0.0
9,0.23414645289542352,0.12487810821089257,0.0,0.08377078165833912,0.11846977555181853,0.10342860047301518,0.0,0.06839855680567695
10,0.062499999999999986,0.08333333333333333,0.0,0.0,0.0,0.0,0.4166666666666667,0.18257418583505533
11,0.0,0.0,0.0,0.0,0.14907119849998599,0.052057920629535355,0.07856742013183861,0.0
12,0.0,0.0,0.0,0.0,0.0,0.03407990882954985,0.0,0.0
13,0.32826608214930636,0.04376881095324086,0.0,0.11744404390294069,0.16609095970747995,0.1450036976414354,0.0,0.3356243110397689
14,0.03466876226407682,0.0,0.06537204504606135,0.0,0.0,0.06125638918316889,0.0,0.0
15,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0975900072948533
16,0.1617491598051576,0.10783277320343843,0.10166571355506979,0.04822428221704121,0.1363988678940947,0.19053020329181639,0.03594425773447948,0.0
