de.fr,1,2,3
1,0.5976143046671968,0.19999999999999996,0.1333333333333334
2,0.15430334996209194,0.0,0.0
3,0.10101525445522107,0.0,0.0
4,0.35856858280031806,0.19999999999999996,0.20000000000000007
5,0.08451542547285165,0.0,0.04714045207910318
6,0.0,0.0,0.14907119849998604
7,0.1709408646894569,0.09534625892455921,0.06356417261637284
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.14907119849998604
17,0.30304576336566325,0.33806170189140655,0.11268723396380224
18,0.0,0.18257418583505536,0.0
19,0.0,0.0,0.043033148291193535
20,0.0,0.0,0.060858061945018485
21,0.0,0.0,0.0
22,0.0,0.19999999999999996,0.0
23,0.0,0.0,0.0
24,0.0,0.15811388300841897,0.0
25,0.0,0.0,0.07231015260621874
26,0.0,0.0,0.0
27,0.0,0.19999999999999996,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.07698003589195013
30,0.23904572186687872,0.19999999999999996,0.20000000000000007
31,0.0,0.0,0.060858061945018485
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.05634361698190112
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.3223291856101521,0.13483997249264842,0.13483997249264845
42,0.0,0.0,0.0
43,0.0,0.0,0.03726779962499651
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.08058229640253803,0.0,0.04494665749754949
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.12964074471043288,0.0,0.18077538151554687
54,0.08451542547285165,0.0,0.04714045207910318
55,0.0,0.0,0.0
56,0.08058229640253803,0.0,0.13483997249264845
57,0.10101525445522107,0.0,0.0
58,0.25928148942086576,0.10846522890932808,0.10846522890932812
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.08451542547285165,0.0,0.04714045207910318
64,0.0,0.0,0.0
65,0.1649572197684645,0.06900655593423542,0.06900655593423545
66,0.058321184351980436,0.0,0.032530002431617785
67,0.14638501094227999,0.0816496580927726,0.05443310539518175
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.1333333333333334
73,0.0944911182523068,0.0,0.15811388300841903
74,0.11145564251507058,0.09325048082403138,0.06216698721602095
75,0.2988071523335984,0.19999999999999996,0.1333333333333334
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.13483997249264842,0.0
79,0.20619652471058067,0.13801311186847084,0.11501092655705909
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.04714045207910318
84,0.1091089451179962,0.0,0.12171612389003697
85,0.0,0.0,0.07453559924999302
86,0.44474958999666075,0.24806946917841693,0.16537964611894468
87,0.3857583749052298,0.12909944487358055,0.1290994448735806
