de.fr,1,2,3
1,0.3333333333333333,0.1111111111111111,0.03125
2,0.07692307692307693,0.0,0.0
3,0.07142857142857142,0.0,0.0
4,0.14285714285714285,0.1111111111111111,0.06451612903225806
5,0.05,0.0,0.02702702702702703
6,0.0,0.0,0.03225806451612903
7,0.08,0.05,0.023255813953488372
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.03225806451612903
17,0.125,0.2,0.029411764705882353
18,0.0,0.1,0.0
19,0.0,0.0,0.027777777777777776
20,0.0,0.0,0.030303030303030304
21,0.0,0.0,0.0
22,0.0,0.1111111111111111,0.0
23,0.0,0.0,0.0
24,0.0,0.08333333333333333,0.0
25,0.0,0.0,0.02631578947368421
26,0.0,0.0,0.0
27,0.0,0.1111111111111111,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.02564102564102564
30,0.06666666666666667,0.1111111111111111,0.06451612903225806
31,0.0,0.0,0.030303030303030304
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.029411764705882353
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.15789473684210525,0.06666666666666667,0.05405405405405406
42,0.0,0.0,0.0
43,0.0,0.0,0.023255813953488372
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.05555555555555555,0.0,0.02857142857142857
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.08695652173913043,0.0,0.05
54,0.05,0.0,0.02702702702702703
55,0.0,0.0,0.0
56,0.05555555555555555,0.0,0.02857142857142857
57,0.058823529411764705,0.0,0.0
58,0.12,0.047619047619047616,0.046511627906976744
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.05,0.0,0.02702702702702703
64,0.0,0.0,0.0
65,0.06818181818181818,0.025,0.03225806451612903
66,0.03225806451612903,0.0,0.020833333333333332
67,0.06060606060606061,0.03571428571428571,0.0196078431372549
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.03125
73,0.05555555555555555,0.0,0.02857142857142857
74,0.04,0.05263157894736842,0.023809523809523808
75,0.07692307692307693,0.047619047619047616,0.022727272727272728
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.08333333333333333,0.0
79,0.06896551724137931,0.041666666666666664,0.043478260869565216
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.02702702702702703
84,0.0625,0.0,0.0625
85,0.0,0.0,0.03225806451612903
86,0.16666666666666666,0.07142857142857142,0.02702702702702703
87,0.17647058823529413,0.07692307692307693,0.05714285714285714
