fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,0.7412493166611013,0.16984155512168939,0.08362420100070908,0.3268602252303068,0.09245003270420486,0.16918197377512548,0.13323467750529827,0.10482848367219183,0.1307440900921227,0.22237479499833038,0.1386750490563073,0.08770580193070293,0.23132597278649614,0.18490006540840973,0.2773500981126146,0.08770580193070293,0.16724840200141816,0.0716114874039433,0.07412493166611013,0.060522753266880246,0.16012815380508716,0.09805806756909201,0.0,0.0,0.14824986333222026,0.2773500981126146,0.0,0.2773500981126146,0.20965696734438366,0.17541160386140586,0.24806946917841693,0.24019223070763074,0.2631174057921088,0.13453455879926252,0.2891574659831202,0.16724840200141816,0.09805806756909201,0.24019223070763074,0.0716114874039433,0.0,0.24019223070763074,0.1860521018838127,0.0,0.16012815380508716
2,0.1889822365046136,0.36084391824351614,0.10660035817780521,0.08333333333333333,0.1178511301977579,0.21566554640687688,0.16984155512168936,0.13363062095621217,0.16666666666666666,0.0944911182523068,0.17677669529663687,0.11180339887498948,0.14744195615489714,0.2357022603955158,0.35355339059327373,0.11180339887498948,0.21320071635561041,0.09128709291752767,0.0944911182523068,0.07715167498104596,0.20412414523193148,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.11180339887498948,0.0,0.07372097807744857,0.0,0.12499999999999997,0.10206207261596574,0.09128709291752767,0.0,0.10206207261596574,0.23717082451262844,0.0,0.0
3,0.0,0.21650635094610968,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.11180339887498948,0.0,0.0,0.0,0.0,0.10660035817780521,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13363062095621217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752767,0.0,0.0,0.07905694150420949,0.0944911182523068,0.0
4,0.0944911182523068,0.14433756729740646,0.42640143271122083,0.08333333333333333,0.1178511301977579,0.05391638660171922,0.11322770341445956,0.0,0.16666666666666666,0.0,0.17677669529663687,0.0,0.0,0.1178511301977579,0.17677669529663687,0.11180339887498948,0.10660035817780521,0.0,0.0944911182523068,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.07905694150420949,0.0,0.0
5,0.2988071523335984,0.09128709291752768,0.13483997249264842,0.6851601597031488,0.0,0.10229915092057106,0.07161148740394328,0.08451542547285164,0.05270462766947299,0.17928429140015903,0.0,0.14142135623730948,0.18650096164806276,0.07453559924999299,0.11180339887498948,0.0,0.13483997249264842,0.05773502691896257,0.05976143046671968,0.048795003647426664,0.12909944487358055,0.0,0.0,0.0,0.11952286093343936,0.22360679774997896,0.0,0.22360679774997896,0.25354627641855493,0.14142135623730948,0.19999999999999996,0.12909944487358055,0.21213203435596423,0.10846522890932808,0.23312620206007845,0.13483997249264842,0.07905694150420949,0.19364916731037085,0.11547005383792514,0.0,0.19364916731037085,0.14999999999999997,0.05976143046671968,0.0
6,0.06900655593423542,0.05270462766947299,0.0,0.0,0.6024640760767093,0.0393749615479079,0.12403473458920844,0.0,0.12171612389003691,0.0,0.12909944487358055,0.0,0.0,0.08606629658238703,0.12909944487358055,0.0816496580927726,0.0778498944161523,0.0,0.06900655593423542,0.0,0.0,0.09128709291752767,0.0,0.0,0.06900655593423542,0.0,0.0,0.0,0.0,0.0,0.0,0.07453559924999299,0.0816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07453559924999299,0.05773502691896257,0.0,0.0
7,0.29095718698132317,0.2777777777777778,0.16412198797244362,0.19245008972987526,0.09072184232530289,0.8508495020317437,0.26148818018424536,0.25717224993681986,0.12830005981991685,0.2545875386086578,0.13608276348795434,0.17213259316477406,0.4256282653793743,0.2721655269759087,0.408248290463863,0.2581988897471611,0.24618298195866545,0.1405456737852613,0.07273929674533079,0.1781741612749496,0.31426968052735443,0.09622504486493763,0.08206099398622181,0.0,0.036369648372665396,0.06804138174397717,0.0,0.13608276348795434,0.05143444998736397,0.043033148291193514,0.06085806194501844,0.11785113019775792,0.12909944487358055,0.03300491809922247,0.17025130615174974,0.041030496993110906,0.19245008972987526,0.19641855032959654,0.1405456737852613,0.0,0.11785113019775792,0.33471934069760145,0.07273929674533079,0.0
8,0.13957263155977062,0.1776672636296754,0.1049727762162956,0.08206099398622183,0.17407765595569785,0.18582615562066465,0.7247430753394787,0.1315903389919538,0.3282439759448873,0.09304842103984709,0.17407765595569785,0.1651445647689541,0.07259540086406277,0.17407765595569785,0.26111648393354675,0.27524094128159016,0.262431940540739,0.044946657497549475,0.3256694736394648,0.18993429409939658,0.10050378152592121,0.12309149097933272,0.0524863881081478,0.046524210519923545,0.046524210519923545,0.04351941398892446,0.06154574548966636,0.0,0.0657951694959769,0.0,0.0778498944161523,0.15075567228888181,0.1651445647689541,0.08444006618414981,0.07259540086406277,0.1049727762162956,0.12309149097933272,0.10050378152592121,0.08989331499509895,0.11980845957463075,0.15075567228888181,0.19462473604038075,0.09304842103984709,0.0
9,0.0890870806374748,0.20412414523193154,0.10050378152592121,0.07856742013183861,0.0,0.30499714066520944,0.26688025634181184,0.3779644730092272,0.0,0.1781741612749496,0.0,0.10540925533894598,0.20851441405707477,0.1111111111111111,0.16666666666666666,0.21081851067789195,0.10050378152592121,0.08606629658238703,0.0890870806374748,0.363696483726654,0.19245008972987526,0.0,0.10050378152592121,0.0890870806374748,0.0,0.08333333333333333,0.1178511301977579,0.0,0.0,0.0,0.14907119849998599,0.09622504486493763,0.10540925533894598,0.16169041669088866,0.13900960937138318,0.20100756305184242,0.1178511301977579,0.09622504486493763,0.08606629658238703,0.15294382258037448,0.09622504486493763,0.14907119849998599,0.0890870806374748,0.0
10,0.10101525445522107,0.07715167498104596,0.0,0.0,0.1259881576697424,0.05763904177042351,0.1815682598006407,0.0,0.8017837257372732,0.0,0.1889822365046136,0.11952286093343936,0.0,0.1259881576697424,0.1889822365046136,0.35856858280031806,0.3418817293789138,0.0,0.30304576336566325,0.0,0.0,0.13363062095621217,0.0,0.20203050891044214,0.30304576336566325,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.1091089451179962,0.11952286093343936,0.0,0.0,0.11396057645963795,0.26726124191242434,0.0,0.0,0.0,0.2182178902359924,0.08451542547285164,0.10101525445522107,0.0
