it.fr,1,2,3,4,5,6,7,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.620107973102334,0.03157544889753364,0.06175402271944638
7,0.0,0.0,0.0,0.0,0.0,0.140028008402801,0.7058823529411765,0.11504474832710555
8,0.0,0.0,0.0,0.0,0.0,0.0,0.05292561240249631,0.6210590034081188
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
