de.fr,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.045454545454545456,0.0,0.0,0.0,0.09375,0.08823529411764706
3,0.06666666666666667,0.0,0.0,0.0,0.1282051282051282,0.09523809523809523
4,0.0,0.0,0.041666666666666664,0.0,0.0,0.03125
5,0.125,0.0,0.0,0.0,0.15384615384615385,0.18518518518518517
6,0.0,0.0,0.038461538461538464,0.0,0.06451612903225806,0.12903225806451613
7,0.058823529411764705,0.0,0.0,0.0,0.07142857142857142,0.03225806451612903
8,0.1,0.0625,0.0,0.0,0.0625,0.058823529411764705
9,0.08695652173913043,0.05263157894736842,0.0,0.05,0.027777777777777776,0.02631578947368421
10,0.034482758620689655,0.041666666666666664,0.125,0.0,0.07692307692307693,0.07317073170731707
11,0.08333333333333333,0.10526315789473684,0.03225806451612903,0.047619047619047616,0.08571428571428572,0.05263157894736842
12,0.05263157894736842,0.0,0.0,0.0,0.03225806451612903,0.030303030303030304
