de.en,1,2,3,4,5,6
1,0.36,0.0,0.0,0.0967741935483871,0.0,0.0
2,0.07142857142857142,0.0,0.125,0.034482758620689655,0.0,0.0
3,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
4,0.09523809523809523,0.0,0.0,0.045454545454545456,0.0,0.0
5,0.07407407407407407,0.0,0.0,0.03571428571428571,0.0,0.0
6,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
7,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.034482758620689655,0.0,0.2,0.034482758620689655,0.037037037037037035,0.0
10,0.05263157894736842,0.0,0.0,0.1111111111111111,0.0,0.0
11,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.10526315789473684
12,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
13,0.0,0.0,0.0,0.0,0.08695652173913043,0.29411764705882354
14,0.045454545454545456,0.0,0.2222222222222222,0.09523809523809523,0.0,0.125
15,0.125,0.0,0.0,0.038461538461538464,0.0,0.0
16,0.0,0.0,0.0,0.043478260869565216,0.0,0.05555555555555555
17,0.05,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
