de.en,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.14433756729740646,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.48507125007266594,0.11128297681493142,0.06482037235521644,0.0
10,0.0,0.0,0.0,0.22941573387056174,0.0,0.0
11,0.0,0.0,0.0,0.29019050004400465,0.1690308509457033,0.19069251784911848
12,0.0,0.0,0.0,0.0,0.0,0.30151134457776363
13,0.0,0.0,0.0,0.0,0.16116459280507606,0.45454545454545453
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
