de.it,1,2,3,4
1,0.0,0.26726124191242434,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.40201512610368484,0.0
4,0.0,0.0,0.0,0.0
5,0.28284271247461895,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
