it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.07692307692307693,0.029411764705882353,0.0,0.08,0.1111111111111111,0.0,0.15384615384615385,0.08333333333333333,0.0,0.09090909090909091,0.07894736842105263,0.038461538461538464,0.12,0.10638297872340426,0.125,0.037037037037037035,0.08571428571428572
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06666666666666667,0.09523809523809523,0.0,0.07142857142857142,0.125,0.0,0.03125,0.07692307692307693,0.0,0.043478260869565216,0.03571428571428571,0.0,0.0,0.05263157894736842,0.07142857142857142,0.0,0.04
4,0.027777777777777776,0.07317073170731707,0.09090909090909091,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.07547169811320754,0.08888888888888889,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0
6,0.045454545454545456,0.0,0.0,0.1,0.08695652173913043,0.0,0.1111111111111111,0.10526315789473684,0.0,0.06896551724137931,0.058823529411764705,0.1,0.045454545454545456,0.06818181818181818,0.1,0.0,0.1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.030303030303030304,0.02631578947368421,0.0,0.04,0.041666666666666664,0.041666666666666664,0.04,0.0
8,0.03571428571428571,0.0,0.0,0.07692307692307693,0.06896551724137931,0.0,0.21052631578947367,0.08,0.0,0.05714285714285714,0.05,0.0,0.0,0.23255813953488372,0.07692307692307693,0.0,0.05405405405405406
9,0.05555555555555555,0.0,0.0,0.125,0.10526315789473684,0.0,0.058823529411764705,0.13333333333333333,0.0,0.08,0.06666666666666667,0.0,0.0,0.04878048780487805,0.125,0.05555555555555555,0.07407407407407407
