fr.en,1,2,3,4,5,6,7,8
1,0.35355339059327373,0.0,0.0,0.0,0.0,0.21693045781865616,0.0,0.1860521018838127
2,0.14907119849998599,0.0,0.0,0.0,0.0,0.2286647801900118,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.08574929257125441,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.08574929257125441,0.0,0.0
5,0.0816496580927726,0.0,0.0,0.0,0.0,0.06262242910851494,0.0975900072948533,0.0716114874039433
6,0.0,0.09166984970282112,0.09901475429766744,0.0,0.0,0.0,0.0,0.0
7,0.15811388300841897,0.0,0.0,0.0,0.0,0.18190171877724973,0.0,0.20801257358446093
8,0.07905694150420949,0.0944911182523068,0.10206207261596577,0.0,0.0,0.06063390625908324,0.0944911182523068,0.06933752452815364
9,0.0,0.0,0.0,0.0,0.0,0.06482037235521644,0.0,0.14824986333222026
10,0.07905694150420949,0.0,0.0,0.0,0.0,0.18190171877724973,0.0,0.34668762264076824
11,0.0,0.0,0.0,0.0,0.0,0.05423261445466404,0.0,0.12403473458920847
12,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.06726727939963126,0.0,0.0
15,0.09999999999999998,0.0,0.0,0.0,0.0,0.15339299776947407,0.0,0.2631174057921088
16,0.0,0.0,0.0,0.0,0.0,0.14625448482542613,0.0,0.0
17,0.09999999999999998,0.0,0.0,0.0,0.0,0.15339299776947407,0.0,0.2631174057921088
18,0.08451542547285165,0.0,0.0,0.0,0.0,0.19446111706564934,0.0,0.37062465833055064
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.09166984970282112,0.0,0.20965696734438366
21,0.12403473458920847,0.0,0.0,0.0,0.0,0.23782574707724707,0.0,0.3263569759322527
22,0.0,0.0,0.0,0.0,0.0,0.07669649888473704,0.0,0.0
23,0.0674199862463242,0.0,0.0,0.0,0.0,0.15512630699850574,0.0,0.2956561979945413
24,0.0,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.07692307692307693
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.12171612389003689,0.0,0.0,0.0,0.0,0.140028008402801,0.0,0.16012815380508716
28,0.15811388300841897,0.0,0.0,0.0,0.0,0.12126781251816648,0.1889822365046136,0.0
29,0.0816496580927726,0.0,0.10540925533894598,0.0,0.0,0.12524485821702988,0.0,0.21483446221182986
30,0.0,0.11396057645963795,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.09166984970282112,0.0,0.09166984970282112,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.16903085094570328,0.0,0.0,0.0,0.32539568672798425,0.0,0.0
36,0.0,0.11396057645963795,0.0,0.0,0.0,0.07312724241271307,0.0,0.16724840200141816
37,0.0,0.07142857142857142,0.07715167498104596,0.0,0.08451542547285164,0.09166984970282112,0.0,0.10482848367219183
38,0.0,0.1091089451179962,0.3535533905932738,0.0,0.0,0.0,0.0,0.0
39,0.0,0.1543033499620919,0.16666666666666669,0.0,0.0,0.0,0.0,0.0
40,0.15339299776947407,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.4036036763977875
41,0.0,0.07715167498104596,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.09534625892455924,0.05698028822981897,0.0,0.0,0.0,0.10969086361906959,0.11396057645963795,0.20906050250177272
44,0.14301938838683884,0.05698028822981897,0.061545745489666376,0.0,0.0,0.18281810603178267,0.0,0.25087260300212727
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.09128709291752768,0.0,0.0,0.0,0.12909944487358055,0.140028008402801,0.0,0.24019223070763074
48,0.0,0.0,0.08703882797784893,0.0,0.0,0.0,0.0,0.0
49,0.09999999999999998,0.0,0.0,0.0,0.0,0.15339299776947407,0.0,0.2631174057921088
50,0.09999999999999998,0.0,0.0,0.0,0.0,0.15339299776947407,0.11952286093343936,0.2631174057921088
51,0.0816496580927726,0.0,0.0,0.0,0.0,0.12524485821702988,0.0975900072948533,0.21483446221182986
52,0.18257418583505536,0.0,0.0,0.0,0.0,0.2100420126042015,0.1091089451179962,0.24019223070763074
