it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0.0851063829787234,0.0425531914893617,0.0,0.0196078431372549,0.022222222222222223,0.061224489795918366,0.0,0.0196078431372549,0.017857142857142856,0.057692307692307696,0.04477611940298507,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.02564102564102564,0.0,0.0625,0.0,0.025,0.02702702702702703,0.01818181818181818,0.016666666666666666,0.03278688524590164,0.021739130434782608,0.023255813953488372,0.03636363636363636,0.013513513513513514,0.018867924528301886,0.0425531914893617,0.0,0.06349206349206349
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.045454545454545456,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.058823529411764705,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.029411764705882353,0.027777777777777776,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.041666666666666664,0.05263157894736842,0.07692307692307693,0.0,0.037037037037037035,0.0,0.0,0.03125,0.03333333333333333,0.045454545454545456,0.058823529411764705,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.05263157894736842,0.03125,0.0,0.0,0.0,0.0,0.04878048780487805
5,0.02857142857142857,0.030303030303030304,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.05714285714285714,0.05,0.02564102564102564,0.0784313725490196,0.0,0.0,0.07692307692307693,0.0,0.03125,0.0,0.0,0.0,0.058823529411764705,0.0,0.13043478260869565,0.045454545454545456,0.0,0.022222222222222223,0.02127659574468085,0.03225806451612903,0.03571428571428571,0.05,0.034482758620689655,0.02631578947368421,0.030303030303030304,0.0,0.0196078431372549
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.02857142857142857,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.029411764705882353,0.0,0.0,0.02127659574468085
8,0.0,0.0,0.05,0.03571428571428571,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.03125,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.07407407407407407,0.0,0.058823529411764705,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.05172413793103448
13,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.037037037037037035,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.02564102564102564
