de.fr,1,2,3,4,5,6,7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.26516504294495535,0.0,0.1767766952966369,0.0,0.0,0.2886751345948129,0.1875
3,0.5051814855409226,0.09622504486493763,0.0,0.07715167498104597,0.0,0.0,0.0
4,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
5,0.125,0.3333333333333333,0.0,0.1336306209562122,0.0,0.0,0.0
6,0.21650635094610968,0.19245008972987526,0.14433756729740646,0.07715167498104597,0.0,0.0,0.10206207261596574
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.3086066999241839,0.0,0.0,0.0
9,0.05892556509887897,0.0,0.11785113019775793,0.0,0.23570226039551587,0.0,0.08333333333333333
10,0.09622504486493763,0.0,0.19245008972987526,0.0,0.0,0.15713484026367722,0.1360827634879543
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.08606629658238703,0.0,0.06900655593423542,0.0,0.0,0.0
14,0.046423834544262965,0.0,0.09284766908852593,0.0,0.0,0.07580980435789035,0.06565321642986127
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.15430334996209194,0.0,0.0,0.0
