fr.it,1,2,3,4,5,6
1,0.2279211529192759,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.25584085962673253,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
