fr.en,1,2,3,4,5,6,7,8,9
1,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454
