de.fr,1,2,3,4,5,6,7,8,9
1,0.03333333333333333,0.0,0.05263157894736842,0.04,0.0,0.02857142857142857,0.08333333333333333,0.05714285714285714,0.0
2,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0
3,0.045454545454545456,0.0,0.0,0.0,0.0,0.037037037037037035,0.058823529411764705,0.07407407407407407,0.1
4,0.14285714285714285,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.1111111111111111,0.09090909090909091
5,0.3333333333333333,0.05263157894736842,0.0,0.045454545454545456,0.0,0.1,0.0,0.0625,0.0
6,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.06666666666666667,0.043478260869565216,0.0,0.0,0.0,0.05714285714285714,0.038461538461538464,0.02702702702702703,0.0
9,0.07407407407407407,0.0,0.11764705882352941,0.0,0.0,0.0625,0.0,0.06060606060606061,0.0
10,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
