de.fr,1,2,3,4,5,6,7,8,9
1,0.0545544725589981,0.0,0.09128709291752768,0.06933752452815364,0.0,0.04902903378454601,0.20801257358446093,0.125,0.0
2,0.0,0.11952286093343936,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.0
3,0.09759000729485333,0.0,0.0,0.0,0.0,0.08770580193070293,0.12403473458920847,0.22360679774997896,0.18257418583505536
4,0.35634832254989923,0.0,0.0,0.0,0.0,0.16012815380508716,0.0,0.3402069087198859,0.16666666666666669
5,0.5520524474738834,0.09999999999999998,0.0,0.08770580193070293,0.0,0.24806946917841693,0.0,0.21081851067789195,0.0
6,0.0,0.09534625892455924,0.11009637651263607,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2439750182371333,0.07071067811865474,0.0,0.0,0.0,0.1315587028960544,0.062017367294604234,0.14907119849998599,0.0
9,0.1973855084879307,0.0,0.22019275302527214,0.0,0.0,0.11826247919781652,0.0,0.20100756305184242,0.0
10,0.0,0.25819888974716115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
