de.fr,1,2,3,4
1,0.14285714285714285,0.0,0.05128205128205128,0.0
2,0.0,0.0,0.058823529411764705,0.0
3,0.16666666666666666,0.0,0.02702702702702703,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.037037037037037035,0.07317073170731707,0.0
7,0.11764705882352941,0.0,0.0,0.0
8,0.1,0.0,0.02631578947368421,0.0
9,0.05263157894736842,0.0,0.0,0.0
10,0.0,0.2,0.0,0.0
11,0.0,0.0,0.034482758620689655,0.0
