de.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.6324555320336759,0.0,0.0,0.17213259316477406,0.0,0.12909944487358055,0.0,0.2760262237369417,0.0,0.23904572186687872,0.09128709291752768,0.0
2,0.20412414523193148,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.15430334996209194,0.0,0.0
3,0.13363062095621217,0.0,0.0,0.07273929674533079,0.0,0.0,0.0,0.0,0.0,0.10101525445522107,0.0,0.0
4,0.31622776601683794,0.0,0.0,0.17213259316477406,0.0,0.12909944487358055,0.0,0.2760262237369417,0.0,0.11952286093343936,0.09128709291752768,0.0
5,0.11180339887498948,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.04879500364742665,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2261335084333227,0.0,0.053300179088902604,0.24618298195866545,0.0,0.06154574548966636,0.0,0.1315903389919538,0.0,0.0,0.08703882797784893,0.0
8,0.11180339887498948,0.0,0.07905694150420949,0.06085806194501844,0.0,0.0,0.0,0.0,0.0,0.0,0.06454972243679029,0.0
9,0.17677669529663687,0.0,0.125,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596577,0.0
10,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358055
11,0.0,0.0,0.0,0.07273929674533079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.3779644730092272,0.1091089451179962,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.12830005981991682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.17677669529663687,0.0,0.125,0.19245008972987526,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596577,0.0
17,0.26726124191242434,0.0,0.0,0.07273929674533079,0.0,0.2182178902359924,0.0,0.29160592175990213,0.0,0.0,0.07715167498104596,0.0
18,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.06299407883487121,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.1091089451179962,0.0890870806374748,0.0,0.07715167498104597,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.1543033499620919,0.06299407883487121,0.0,0.1091089451179962,0.0,0.0
21,0.0,0.0,0.0,0.09622504486493763,0.25,0.07216878364870323,0.0944911182523068,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.06900655593423542,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.2672612419124244,0.07715167498104597,0.10101525445522107,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.40824829046386296,0.0,0.054554472558998084,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.04667600280093366,0.24253562503633297,0.140028008402801,0.09166984970282112,0.0,0.04583492485141056,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.20701966780270625,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.1951800145897066,0.11952286093343935,0.04879500364742665,0.20701966780270628,0.0,0.0
30,0.15811388300841897,0.0,0.0,0.08606629658238703,0.0,0.12909944487358055,0.16903085094570328,0.4140393356054125,0.0,0.11952286093343936,0.09128709291752768,0.0
31,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.1543033499620919,0.06299407883487121,0.0,0.1091089451179962,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.07856742013183861,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.0
34,0.0,0.0,0.0,0.07273929674533079,0.0,0.0,0.14285714285714285,0.05832118435198043,0.0,0.10101525445522107,0.0,0.0
35,0.0,0.0,0.0,0.0,0.35355339059327373,0.10206207261596574,0.13363062095621217,0.0,0.06681531047810609,0.0,0.07216878364870323,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.31980107453341566,0.0,0.0,0.058025885318565944,0.0,0.08703882797784893,0.0,0.18609684207969418,0.0,0.0,0.061545745489666376,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054554472558998084,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.10660035817780521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.140028008402801,0.06063390625908324,0.0,0.0,0.0,0.0,0.03742405942825599,0.0,0.0,0.0,0.0
54,0.11180339887498948,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.04879500364742665,0.0,0.0,0.0,0.0
55,0.0,0.0,0.33541019662496846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0
56,0.0,0.08703882797784893,0.15075567228888181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.1091089451179962,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.34299717028501764,0.0,0.06063390625908324,0.09335200560186732,0.0,0.0700140042014005,0.0,0.14969623771302396,0.0,0.0,0.09901475429766744,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05892556509887897,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.09128709291752767,0.0,0.06454972243679027,0.09938079899999065,0.0,0.0,0.0,0.0,0.0,0.0,0.05270462766947299,0.0
62,0.0,0.0,0.0,0.0,0.0,0.13245323570650439,0.0,0.0,0.0,0.0,0.0468292905790847,0.0
63,0.11180339887498948,0.0,0.23717082451262844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358058,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.21821789023599233,0.0,0.03857583749052298,0.059391387091649865,0.0,0.0445435403187374,0.0,0.09523809523809523,0.0,0.0,0.06299407883487121,0.0
66,0.07715167498104596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.2581988897471611,0.0,0.13693063937629152,0.10540925533894598,0.0,0.05270462766947299,0.0,0.1126872339638022,0.0,0.0,0.1118033988749895,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.15811388300841897,0.0,0.11180339887498948,0.08606629658238703,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0
73,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.07372097807744857,0.0,0.0,0.040128617695256406,0.0,0.06019292654288461,0.0,0.1286978904175574,0.0,0.0,0.042562826537937436,0.0
75,0.31622776601683794,0.0,0.0,0.12909944487358055,0.0,0.12909944487358055,0.0,0.2760262237369417,0.0,0.05976143046671968,0.09128709291752768,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.08703882797784893,0.0,0.09304842103984709,0.0,0.0,0.0,0.0
79,0.1636634176769943,0.0,0.0,0.059391387091649865,0.0,0.08908708063747481,0.0,0.19047619047619052,0.0,0.0,0.06299407883487121,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.06085806194501844,0.0,0.0,0.0,0.0,0.05976143046671968,0.08451542547285165,0.0,0.0
84,0.14433756729740646,0.0,0.20412414523193154,0.0,0.0,0.0,0.1543033499620919,0.06299407883487121,0.0,0.1091089451179962,0.0,0.0
85,0.17677669529663687,0.0,0.125,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596577,0.0
86,0.39223227027636803,0.0,0.0,0.16012815380508716,0.0,0.16012815380508716,0.0,0.34236839400873037,0.0,0.07412493166611013,0.11322770341445959,0.0
87,0.40824829046386296,0.0,0.0,0.16666666666666666,0.0,0.08333333333333334,0.0,0.31180478223116176,0.0,0.15430334996209194,0.05892556509887897,0.0
