de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.4575396819442366,0.2300894966542111,0.03131121455425747,0.0,0.11433239009500587,0.0,0.051708768999501914,0.18712029714127992,0.06859943405700354,0.0,0.0,0.0,0.0,0.11433239009500587,0.054232614454664034,0.0,0.0,0.06160411036336975,0.1910789265895446,0.24253562503633297
2,0.0,0.0,0.0,0.0,0.0,0.0,0.12309149097933275,0.08908708063747481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.17928429140015903,0.048795003647426664,0.0,0.0,0.0,0.0,0.4665694748158435,0.10690449676496974,0.0890870806374748,0.0,0.0,0.0,0.0,0.1690308509457033,0.0,0.0,0.19200614429492777,0.0,0.0944911182523068
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24494897427831783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.18490006540840973,0.22645540682891918,0.0,0.12104550653376049,0.0,0.2773500981126146,0.588348405414552,0.2964997266644405,0.0,0.0,0.0,0.0,0.0,0.09962709627734359,0.0,0.049029033784546004
6,0.0,0.0,0.0,0.0,0.16666666666666666,0.20412414523193154,0.15075567228888181,0.0,0.0,0.16666666666666666,0.35355339059327373,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.08980265101338746,0.0,0.0
7,0.0,0.0,0.0,0.0,0.16666666666666666,0.20412414523193154,0.0,0.0,0.1,0.16666666666666666,0.35355339059327373,0.4008918628686366,0.0,0.0,0.0,0.0,0.0,0.08980265101338746,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17888543819998318,0.0,0.0,0.35856858280031806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.1091089451179962,0.2,0.16666666666666666,0.0,0.1336306209562122,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0
13,0.0,0.062017367294604234,0.05063696835418333,0.0,0.0,0.0,0.0,0.060522753266880246,0.05547001962252291,0.0,0.0,0.07412493166611013,0.0,0.0,0.08770580193070293,0.4193139346887673,0.0,0.0,0.05150262026246048,0.147087101353638
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715167498104595,0.07332355751067665,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768,0.0,0.1091089451179962,0.10369516947304255,0.0,0.0
16,0.14852213144650114,0.13693063937629152,0.0,0.0,0.2041241452319315,0.0,0.0,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.2041241452319315,0.0,0.0,0.0,0.10998533626601499,0.4548588261473421,0.2886751345948129
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11547005383792516,0.0,0.0,0.15430334996209194,0.0,0.19245008972987526,0.0,0.2182178902359924,0.0,0.0,0.0,0.10206207261596574
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040824829046386304,0.0,0.0,0.0545544725589981,0.0,0.0,0.0,0.07715167498104596,0.0,0.0,0.0,0.18042195912175807
