it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.0,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2631806779839076,0.1315903389919538,0.12309149097933274,0.0778498944161523,0.0,0.0,0.10050378152592121,0.0,0.0,0.1365577483997838,0.055048188256318034,0.050251890762960605,0.1574591643244434,0.0
3,0.3144854510165755,0.0,0.6537204504606136,0.1860521018838127,0.0,0.09805806756909201,0.08006407690254358,0.0,0.0,0.21757131728816848,0.08770580193070293,0.08006407690254358,0.0,0.0
4,0.08671099695241198,0.0,0.10814761408717503,0.6668859288553501,0.0,0.0,0.13245323570650439,0.1873171623163388,0.15294382258037448,0.179968508266339,0.14509525002200233,0.13245323570650439,0.0,0.3077935056255462
5,0.0,0.0,0.07106690545187015,0.0,0.502518907629606,0.0,0.08703882797784893,0.12309149097933275,0.0,0.11826247919781652,0.09534625892455924,0.08703882797784893,0.0,0.0
6,0.0,0.0,0.0,0.07071067811865474,0.0,0.0,0.0,0.25819888974716115,0.21081851067789195,0.062017367294604234,0.0,0.0,0.0,0.07071067811865474
7,0.0,0.0,0.0,0.08451542547285164,0.0,0.0,0.1091089451179962,0.1543033499620919,0.629940788348712,0.0,0.11952286093343936,0.1091089451179962,0.11396057645963795,0.08451542547285164
8,0.0975900072948533,0.0,0.12171612389003691,0.23094010767585027,0.0,0.0,0.0,0.10540925533894598,0.17213259316477406,0.5570066518960167,0.0,0.07453559924999299,0.1556997888323046,0.1732050807568877
9,0.0,0.0,0.0,0.07071067811865474,0.0,0.0,0.27386127875258304,0.0,0.10540925533894598,0.31008683647302115,0.29999999999999993,0.09128709291752768,0.0,0.14142135623730948
10,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.30618621784789724,0.0,0.1178511301977579,0.20801257358446093,0.6708203932499369,0.20412414523193148,0.0,0.07905694150420949
11,0.0944911182523068,0.0944911182523068,0.05892556509887897,0.05590169943749474,0.0,0.0,0.14433756729740646,0.0,0.08333333333333333,0.24514516892273006,0.15811388300841897,0.36084391824351614,0.22613350843332272,0.0
12,0.0,0.26726124191242434,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.0,0.0,0.0,0.31980107453341566,0.07905694150420949
13,0.0,0.0,0.0,0.0,0.07647191129018724,0.0,0.0,0.0936585811581694,0.0,0.0,0.0,0.0,0.0,0.0
