de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.21739130434782608,0.0,0.1875,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.08333333333333333,0.10526315789473684,0.0
2,0.03571428571428571,0.0,0.05263157894736842,0.02631578947368421,0.05,0.0,0.0,0.047619047619047616,0.07692307692307693,0.0,0.0,0.0,0.0,0.058823529411764705
3,0.14814814814814814,0.0,0.29411764705882354,0.05128205128205128,0.0,0.0,0.06666666666666667,0.043478260869565216,0.06666666666666667,0.047619047619047616,0.0,0.0,0.09090909090909091,0.05263157894736842
4,0.03125,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
7,0.0,0.03125,0.0,0.05454545454545454,0.05263157894736842,0.0,0.06451612903225806,0.07894736842105263,0.1,0.05405405405405406,0.0,0.0,0.0,0.027777777777777776
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.058823529411764705
9,0.044444444444444446,0.0,0.0,0.017857142857142856,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0
10,0.06666666666666667,0.0,0.09523809523809523,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.10526315789473684
11,0.08,0.0,0.125,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0
12,0.0,0.08333333333333333,0.0,0.02702702702702703,0.05263157894736842,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
