de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.408248290463863,0.0,0.33968311024337877,0.12751534261266767,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.11322770341445959,0.1924500897298753,0.0
2,0.15118578920369088,0.0,0.10482848367219183,0.059028133610095526,0.10101525445522107,0.0,0.0,0.07018624063435965,0.14285714285714285,0.0,0.0,0.0,0.0,0.11396057645963795
3,0.26666666666666666,0.0,0.4622501635210243,0.10411584125907071,0.0,0.0,0.1259881576697424,0.1856953381770519,0.1259881576697424,0.09245003270420486,0.0,0.0,0.15713484026367722,0.10050378152592121
4,0.10690449676496974,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.1770844008302866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,0.0,0.0,0.0,0.0
7,0.0,0.07412493166611012,0.0,0.12251277836633778,0.10482848367219183,0.0,0.14824986333222023,0.21850711221876895,0.22237479499833035,0.10878565864408424,0.0,0.0,0.0,0.05913123959890826
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.11396057645963795
9,0.08,0.0,0.0,0.031234752377721213,0.05345224838248487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047140452079103175,0.0
10,0.12649110640673517,0.0,0.17541160386140586,0.14815943949743846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07453559924999299,0.19069251784911848
11,0.17888543819998318,0.0,0.24806946917841693,0.13968605915391563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0
12,0.0,0.1543033499620919,0.0,0.06375767130633384,0.1091089451179962,0.18257418583505536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
