de.it,1,2,3,4,5,6
1,0.0,0.0,0.0,0.15811388300841897,0.0,0.14907119849998599
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0668153104781061,0.0944911182523068,0.3333333333333333,0.17677669529663687,0.15811388300841897,0.16666666666666666
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.7071067811865475,0.0,0.1111111111111111
6,0.4364357804719848,0.0,0.0,0.0,0.12909944487358058,0.0
7,0.1091089451179962,0.0,0.0,0.0,0.3872983346207417,0.0
8,0.0,0.0,0.0,0.25724787771376323,0.0,0.40422604172722165
9,0.1336306209562122,0.0,0.0,0.17677669529663687,0.15811388300841897,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
