de.fr,1,2,3,4,5
1,0.038461538461538464,0.16666666666666666,0.0,0.0,0.0
2,0.29411764705882354,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.05555555555555555,0.11764705882352941
5,0.0,0.0,0.041666666666666664,0.08695652173913043,0.08695652173913043
6,0.0,0.0,0.10344827586206896,0.06666666666666667,0.03225806451612903
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
