de.fr,1,2,3,4,5,6
1,0.12,0.20689655172413793,0.0,0.09090909090909091,0.030303030303030304,0.0
2,0.09090909090909091,0.06896551724137931,0.11764705882352941,0.03225806451612903,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0625,0.043478260869565216,0.0,0.041666666666666664,0.0,0.0
5,0.045454545454545456,0.034482758620689655,0.0,0.03333333333333333,0.0,0.0
6,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.09090909090909091,0.0,0.1875,0.0,0.034482758620689655,0.0
10,0.07692307692307693,0.05,0.0,0.1,0.05263157894736842,0.0625
11,0.1111111111111111,0.0,0.0,0.12,0.08333333333333333,0.09523809523809523
12,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
13,0.0,0.0,0.0,0.0,0.125,0.3333333333333333
14,0.13333333333333333,0.043478260869565216,0.2,0.041666666666666664,0.0,0.1111111111111111
15,0.05,0.12,0.0,0.03571428571428571,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.05
17,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
