de.fr,1,2,3,4,5,6
1,0.223606797749979,0.2963336296671112,0.0,0.1666666666666667,0.050251890762960605,0.0
2,0.2300894966542111,0.21780342093451605,0.21693045781865616,0.1143323900950059,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.11952286093343936,0.06788442333021305,0.0,0.0890870806374748,0.0,0.0
5,0.08770580193070293,0.04981354813867179,0.0,0.06537204504606135,0.0,0.0
6,0.0,0.07332355751067665,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.15339299776947407,0.0,0.4338609156373123,0.0,0.051708768999501914,0.0
10,0.15811388300841897,0.17960530202677488,0.0,0.23570226039551587,0.21320071635561041,0.22941573387056174
11,0.19999999999999996,0.0,0.0,0.223606797749979,0.1348399724926484,0.14509525002200233
12,0.0,0.0,0.0,0.0,0.0,0.22941573387056174
13,0.0,0.0,0.0,0.0,0.1928473039599675,0.4150286783196448
14,0.23904572186687872,0.06788442333021305,0.33806170189140655,0.0890870806374748,0.0,0.17342199390482396
15,0.07254762501100116,0.16481712868606585,0.0,0.054073807043587524,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.08111071056538126
17,0.0,0.16064386578049974,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
