de.it,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02564102564102564,0.07692307692307693,0.1,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.02564102564102564,0.07692307692307693,0.047619047619047616,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
7,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.02,0.041666666666666664,0.1,0.038461538461538464,0.0
8,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.058823529411764705,0.0
9,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.05,0.07142857142857142,0.0
10,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.047619047619047616,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07142857142857142,0.0
17,0.0,0.0,0.0,0.05555555555555555,0.0,0.09090909090909091,0.0,0.024390243902439025,0.06666666666666667,0.09090909090909091,0.0,0.0
18,0.05,0.0,0.10526315789473684,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0
20,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
21,0.03333333333333333,0.05555555555555555,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.05263157894736842,0.0,0.05263157894736842,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.04,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.045454545454545456,0.0,0.045454545454545456,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.04,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.038461538461538464,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.05263157894736842,0.07692307692307693,0.047619047619047616,0.0,0.0
31,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
34,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0
35,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.022222222222222223,0.05263157894736842,0.07692307692307693,0.047619047619047616,0.0
42,0.045454545454545456,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
48,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.06521739130434782,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.046511627906976744,0.0,0.038461538461538464,0.05,0.0
55,0.0,0.0,0.0,0.0,0.0,0.04,0.07692307692307693,0.07317073170731707,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.18181818181818182,0.023809523809523808,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.09090909090909091,0.024390243902439025,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.061224489795918366,0.04,0.0967741935483871,0.07692307692307693,0.0
59,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.06818181818181818,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.045454545454545456,0.0
62,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.038461538461538464,0.05,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
