it.fr,1,2,3,4,5
1,0.28603877677367767,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.06950480468569159
3,0.0,0.0,0.0,0.35355339059327373,0.0
4,0.0,0.0,0.0,0.0,0.07881104062391006
5,0.0,0.0,0.0,0.11180339887498948,0.0
6,0.0,0.0,0.0,0.08838834764831843,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.16666666666666669,0.0,0.0
11,0.0,0.0,0.33333333333333337,0.0,0.0
