de.fr,1,2,3,4,5,6,7
1,0.6139406135149205,0.0,0.06324555320336758,0.09534625892455924,0.0975900072948533,0.17038855027411945,0.09877295966495896
2,0.16724840200141816,0.0,0.0,0.09090909090909091,0.0,0.05415303610738823,0.04708816093480111
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08006407690254358,0.0,0.0,0.08703882797784893,0.0,0.05184758473652128,0.04508348173337162
5,0.17541160386140586,0.0,0.06324555320336758,0.09534625892455924,0.0975900072948533,0.17038855027411945,0.09877295966495896
6,0.08362420100070908,0.23210354127426377,0.0,0.0,0.046524210519923545,0.0,0.0
7,0.0,0.42008402520840293,0.048507125007266595,0.0,0.03742405942825599,0.0,0.0
8,0.3202563076101743,0.0,0.3464101615137755,0.17407765595569785,0.1781741612749496,0.15554275420956382,0.09016696346674324
9,0.0,0.0,0.15,0.0,0.0,0.04490132550669373,0.0
10,0.0,0.0,0.07427813527082074,0.055989251095585425,0.028653412753062636,0.0,0.0
11,0.06933752452815364,0.048112522432468816,0.0,0.15075567228888181,0.0,0.0,0.0
12,0.12725695259515554,0.0,0.13764944032233706,0.06917144638660747,0.31859654643215485,0.12361284651454937,0.10748615458500278
13,0.0,0.0,0.0,0.0,0.0,0.0,0.05521576303742327
14,0.07692307692307693,0.0,0.05547001962252291,0.0,0.08559209850218259,0.2988812888320308,0.043314808182421005
15,0.0,0.0,0.13333333333333333,0.20100756305184242,0.05143444998736397,0.0,0.0
16,0.2864459496157732,0.1987615979999813,0.051639777949432225,0.0,0.07968190728895957,0.13912166872805048,0.08064778385455118
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.3162277660168379,0.09534625892455924,0.0975900072948533,0.0,0.0
19,0.0,0.4061811972299616,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.06761234037828133,0.050964719143762556,0.026082026547865053,0.0,0.0
21,0.1860521018838127,0.0,0.13416407864998736,0.06741998624632421,0.2760262237369417,0.16064386578049977,0.10476454436543672
22,0.16012815380508716,0.2222222222222222,0.05773502691896258,0.0,0.0890870806374748,0.15554275420956382,0.09016696346674324
23,0.0716114874039433,0.0,0.0,0.0,0.07968190728895957,0.27824333745610097,0.08064778385455118
24,0.0,0.0,0.08728715609439695,0.0657951694959769,0.10101525445522108,0.0,0.0
25,0.08559209850218259,0.0,0.09258200997725516,0.09304842103984709,0.047619047619047616,0.055427399547369326,0.07229440390678198
26,0.0,0.0,0.10327955589886445,0.0778498944161523,0.11952286093343935,0.0,0.0
