de.fr,1,2,3,4,5
1,0.0,0.1,0.19047619047619047,0.0,0.0
2,0.03333333333333333,0.13333333333333333,0.08333333333333333,0.043478260869565216,0.0
3,0.0,0.041666666666666664,0.0625,0.15384615384615385,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.08333333333333333
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0625,0.05555555555555555
9,0.0,0.09523809523809523,0.15384615384615385,0.0,0.0
10,0.0,0.037037037037037035,0.05263157894736842,0.2,0.0
