it.en,1,2,3,4,5,6
1,0.19518001458970663,0.08199200616907877,0.05976143046671968,0.17251638983558856,0.36087748355852706,0.13801311186847084
2,0.12028130608117212,0.0,0.0,0.20412414523193168,0.285934819373634,0.25515518153991457
3,0.3306121993780585,0.0,0.27607881518711636,0.03187883565316692,0.0,0.06375767130633384
4,0.31219527052723134,0.23606684260939012,0.11470786693528087,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.329956008798045,0.08216865534971654,0.0
7,0.0,0.0,0.0,0.07856742013183861,0.02934836354418746,0.0
8,0.06415002990995841,0.0,0.1178511301977579,0.0,0.0,0.0
9,0.0,0.0,0.0,0.044543540318737404,0.03327791628198609,0.0
10,0.0549857399228215,0.0,0.0,0.20412414523193154,0.19606959042763464,0.11664236870396087
11,0.14547859349066158,0.0,0.0,0.23145502494313785,0.345834250622541,0.3086066999241838
12,0.12171612389003689,0.0,0.0,0.19364916731037085,0.4581306810618916,0.25819888974716115
13,0.20759971844307276,0.0,0.0,0.3578132236660672,0.5963241878356821,0.4403855060505443
14,0.0,0.0,0.0,0.0,0.05083285677753489,0.0
15,0.3478327964999673,0.0,0.27386127875258304,0.15811388300841897,0.2756247308353552,0.31622776601683794
