it.fr,1,2,3,4,5,6
1,0.09302325581395349,0.05555555555555555,0.05,0.046511627906976744,0.05,0.043478260869565216
2,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
3,0.03571428571428571,0.05263157894736842,0.0,0.0,0.0,0.0
4,0.05128205128205128,0.03225806451612903,0.058823529411764705,0.0,0.0,0.0
5,0.04081632653061224,0.0,0.0,0.06521739130434782,0.045454545454545456,0.08333333333333333
6,0.0,0.0,0.0,0.05555555555555555,0.06666666666666667,0.047619047619047616
7,0.0,0.0,0.10344827586206896,0.06060606060606061,0.03225806451612903,0.02702702702702703
8,0.0,0.0,0.043478260869565216,0.0,0.0,0.034482758620689655
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.047619047619047616,0.0,0.03571428571428571,0.0,0.0
14,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
15,0.0,0.0,0.02702702702702703,0.025,0.0,0.0
16,0.0,0.0,0.037037037037037035,0.0,0.0,0.0625
17,0.023809523809523808,0.030303030303030304,0.05555555555555555,0.025,0.02702702702702703,0.07317073170731707
18,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
19,0.019230769230769232,0.0,0.043478260869565216,0.0,0.0,0.038461538461538464
20,0.03571428571428571,0.05263157894736842,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.04,0.0625,0.0,0.0,0.0,0.0
24,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.03225806451612903,0.0,0.0,0.0,0.0,0.03125
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.18181818181818182,0.11538461538461539,0.04,0.03225806451612903
