de.en,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.2,0.07692307692307693,0.0,0.05555555555555555,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05128205128205128,0.027777777777777776,0.016666666666666666,0.10526315789473684,0.05263157894736842,0.024390243902439025,0.03333333333333333,0.0,0.0,0.0,0.022727272727272728,0.0,0.0
3,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.2,0.0,0.0,0.043478260869565216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.14285714285714285,0.0,0.0,0.0625,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.05263157894736842,0.023255813953488372,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.1,0.029411764705882353,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05263157894736842,0.0,0.02564102564102564,0.05,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0625,0.0,0.0,0.058823529411764705,0.06666666666666667,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0
12,0.058823529411764705,0.07692307692307693,0.02702702702702703,0.0,0.0,0.05555555555555555,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.125,0.03125,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0625,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.03125,0.0,0.019230769230769232,0.030303030303030304,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.023809523809523808,0.0,0.0,0.0,0.04,0.041666666666666664,0.023255813953488372
23,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.10526315789473684,0.058823529411764705,0.0,0.0,0.043478260869565216,0.0
24,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.07407407407407407,0.0,0.020833333333333332,0.034482758620689655,0.0,0.034482758620689655,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.125,0.0,0.0,0.1111111111111111,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0
32,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
36,0.1,0.0,0.0,0.09090909090909091,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.058823529411764705,0.0,0.0,0.05555555555555555,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
39,0.09090909090909091,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.029411764705882353,0.16666666666666666,0.1,0.0,0.0,0.0,0.0
41,0.0625,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.07692307692307693,0.16666666666666666,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.043478260869565216
46,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.09090909090909091,0.0,0.0,0.0,0.0,0.030303030303030304
47,0.0,0.0,0.02631578947368421,0.05263157894736842,0.0,0.05263157894736842,0.02564102564102564,0.05555555555555555,0.06666666666666667,0.0,0.0,0.0,0.025
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.05,0.022727272727272728,0.0,0.0,0.0,0.045454545454545456,0.041666666666666664,0.0,0.0,0.0,0.0,0.021739130434782608
51,0.0,0.0,0.025,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.023809523809523808
52,0.0,0.0625,0.025,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
56,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.06666666666666667,0.0,0.0,0.025
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.030303030303030304
59,0.2,0.0,0.0,0.08333333333333333,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776
62,0.04081632653061224,0.0,0.0,0.0196078431372549,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.0
63,0.10526315789473684,0.0,0.0,0.047619047619047616,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0
64,0.058823529411764705,0.0,0.0,0.05555555555555555,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.09090909090909091,0.0,0.0,0.08333333333333333,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.1,0.058823529411764705,0.024390243902439025,0.045454545454545456,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.023255813953488372
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
