de.fr,1,2,3,4,5,6,7,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.1357688466604261,0.0,0.0,0.0,0.1091089451179962,0.18333969940564224,0.11952286093343936
3,0.06063390625908324,0.04356068418690321,0.0,0.05423261445466404,0.0,0.03500700210070025,0.17647058823529413,0.03834824944236852
4,0.0944911182523068,0.20365326999063915,0.14285714285714285,0.0,0.0,0.1091089451179962,0.09166984970282112,0.05976143046671968
5,0.10206207261596577,0.21997067253202995,0.1543033499620919,0.0,0.0,0.05892556509887897,0.0,0.06454972243679029
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.07142857142857142,0.10263160115815707,0.10798984943120776,0.031943828249996996,0.0,0.14433756729740643,0.0692958928675237,0.1129384878631564
8,0.0,0.0,0.0,0.0,0.0,0.06454972243679027,0.0,0.0
9,0.0,0.12700012700019048,0.0,0.0,0.0,0.10206207261596574,0.17149858514250882,0.11180339887498948
10,0.0,0.12700012700019048,0.0,0.0,0.0,0.10206207261596574,0.17149858514250882,0.11180339887498948
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.05415303610738823,0.0,0.13483997249264842,0.2279211529192759,0.0,0.07312724241271307,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.12126781251816648,0.08712136837380642,0.0,0.0,0.0,0.17503501050350123,0.29411764705882354,0.1917412472118426
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
