de.fr,1,2,3,4,5,6,7,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.05,0.0,0.0,0.0,0.03389830508474576,0.05405405405405406,0.03333333333333333
3,0.03125,0.027777777777777776,0.0,0.030303030303030304,0.0,0.01818181818181818,0.0967741935483871,0.017857142857142856
4,0.045454545454545456,0.038461538461538464,0.07692307692307693,0.0,0.0,0.045454545454545456,0.043478260869565216,0.021739130434782608
5,0.047619047619047616,0.04,0.08333333333333333,0.0,0.0,0.022727272727272728,0.0,0.022222222222222223
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.03333333333333333,0.03125,0.0392156862745098,0.016129032258064516,0.0,0.0625,0.03278688524590164,0.06172839506172839
8,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
9,0.0,0.07692307692307693,0.0,0.0,0.0,0.044444444444444446,0.08695652173913043,0.043478260869565216
10,0.0,0.07692307692307693,0.0,0.0,0.0,0.044444444444444446,0.08695652173913043,0.043478260869565216
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.037037037037037035,0.0,0.041666666666666664,0.07142857142857142,0.0,0.041666666666666664,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.034482758620689655,0.0625,0.0,0.0,0.0,0.08163265306122448,0.14814814814814814,0.08
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
