de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.2,0.15789473684210525,0.2,0.05263157894736842,0.14285714285714285,0.0,0.0,0.06666666666666667,0.029411764705882353,0.0,0.0,0.0,0.08695652173913043,0.09523809523809523,0.05128205128205128,0.0,0.1,0.0625,0.0,0.14285714285714285
2,0.038461538461538464,0.03333333333333333,0.125,0.07407407407407407,0.0,0.038461538461538464,0.06060606060606061,0.041666666666666664,0.0,0.0,0.02857142857142857,0.0,0.0625,0.0,0.0,0.0,0.03333333333333333,0.023809523809523808,0.0,0.03125
3,0.10526315789473684,0.041666666666666664,0.10526315789473684,0.0,0.05555555555555555,0.05,0.07407407407407407,0.11764705882352941,0.05555555555555555,0.06666666666666667,0.034482758620689655,0.06666666666666667,0.0,0.08333333333333333,0.047619047619047616,0.0,0.041666666666666664,0.027777777777777776,0.07142857142857142,0.08
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.041666666666666664,0.05,0.0,0.05555555555555555,0.0,0.03571428571428571,0.05555555555555555,0.11764705882352941,0.06666666666666667,0.07142857142857142,0.06666666666666667,0.0,0.08333333333333333,0.1282051282051282,0.0,0.08695652173913043,0.05714285714285714,0.07142857142857142,0.038461538461538464
6,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0625,0.058823529411764705,0.0,0.037037037037037035,0.0,0.08333333333333333,0.043478260869565216,0.05,0.0,0.045454545454545456,0.029411764705882353,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.1111111111111111,0.03571428571428571,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
9,0.1111111111111111,0.09090909090909091,0.1111111111111111,0.047619047619047616,0.125,0.0,0.0,0.0,0.15625,0.0,0.07407407407407407,0.0,0.038461538461538464,0.13636363636363635,0.13157894736842105,0.0,0.09090909090909091,0.058823529411764705,0.0,0.08333333333333333
10,0.0,0.0,0.0,0.0,0.0,0.0625,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.03125,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.08,0.0,0.0,0.045454545454545456,0.07894736842105263,0.0,0.0,0.0,0.0,0.0
13,0.07692307692307693,0.06666666666666667,0.07692307692307693,0.034482758620689655,0.08333333333333333,0.0,0.0,0.0,0.125,0.0,0.15625,0.0,0.029411764705882353,0.13793103448275862,0.13333333333333333,0.0,0.06666666666666667,0.07317073170731707,0.0,0.0625
