fr.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.40089186286863654,0.0,0.0,0.0,0.1889822365046136,0.0657951694959769,0.07715167498104596,0.11664236870396086,0.0,0.0,0.0,0.0
2,0.0,0.6013377943029549,0.23904572186687872,0.25197631533948484,0.0668153104781061,0.0,0.0,0.08247860988423225,0.0,0.0,0.0,0.0
3,0.0,0.10206207261596577,0.0,0.4811252243246882,0.0,0.0,0.0,0.06299407883487121,0.0,0.0,0.0,0.0
4,0.14433756729740646,0.0,0.0,0.0,0.10206207261596577,0.1421338109037403,0.16666666666666669,0.25197631533948484,0.0,0.0,0.0,0.0
5,0.20412414523193148,0.07216878364870323,0.0,0.0,0.43301270189221935,0.15075567228888181,0.1767766952966369,0.2672612419124244,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.25,0.0,0.10206207261596577,0.0,0.0,0.0,0.0,0.0
7,0.07216878364870323,0.0,0.0,0.0,0.051031036307982884,0.7106690545187015,0.25000000000000006,0.2834733547569204,0.0,0.0,0.0,0.0
8,0.15811388300841897,0.0,0.0,0.0,0.11180339887498948,0.23354968324845687,0.3651483716701107,0.34503277967117707,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0668153104781061,0.046524210519923545,0.7637626158259734,0.08247860988423225,0.0,0.0,0.0,0.0
10,0.09128709291752767,0.0,0.0,0.0,0.06454972243679027,0.22473328748774737,0.21081851067789195,0.4780914437337574,0.0,0.0,0.0,0.0
11,0.07905694150420949,0.16770509831248423,0.0,0.10540925533894598,0.05590169943749474,0.19462473604038075,0.13693063937629152,0.7245688373094719,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8546760083846328,0.1815682598006407,0.3494282789073061,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3735436838188142,0.9258200997725514,0.445435403187374,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04822428221704121,0.23904572186687872,0.06900655593423542,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29589068858212364,0.27500954910846337,0.6351073488299558,0.0
