it.fr,1,2,3,4,5
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.563436169819011,0.0,0.0,0.0
6,0.0,0.0,0.1421338109037403,0.0,0.0
