fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.6923076923076924,0.35805743701971643,0.07692307692307693,0.07692307692307693,0.19088542889273333,0.16724840200141816,0.0716114874039433,0.048280454958526765,0.0,0.056613851707229795,0.0,0.16641005886756874,0.22188007849009164,0.21483446221182986,0.147087101353638,0.0,0.21483446221182986,0.10482848367219183,0.0,0.33633639699815626,0.12403473458920847
2,0.37062465833055064,0.8280786712108251,0.37062465833055064,0.2964997266644405,0.18394180184548972,0.16116459280507606,0.06900655593423542,0.0,0.0,0.0,0.0,0.21380899352993948,0.21380899352993948,0.20701966780270628,0.1417366773784602,0.0,0.20701966780270628,0.10101525445522107,0.0,0.3241018617760822,0.11952286093343936
3,0.3076923076923077,0.5012804118276031,0.7692307692307694,0.4615384615384616,0.19088542889273333,0.16724840200141816,0.0716114874039433,0.0,0.09805806756909201,0.056613851707229795,0.0,0.2773500981126146,0.2773500981126146,0.1432229748078866,0.147087101353638,0.0,0.2864459496157732,0.10482848367219183,0.0,0.4036036763977875,0.12403473458920847
4,0.16012815380508716,0.372677996249965,0.4003203845127179,0.7205766921228922,0.19867985355975656,0.08703882797784893,0.14907119849998599,0.0,0.0,0.0,0.0,0.17320508075688776,0.23094010767585033,0.07453559924999299,0.10206207261596574,0.0,0.14907119849998599,0.0545544725589981,0.0,0.2100420126042015,0.12909944487358055
5,0.25087260300212727,0.23354968324845687,0.08362420100070908,0.25087260300212727,0.6225430174794672,0.2727272727272727,0.23354968324845687,0.0,0.0,0.0,0.0,0.18090680674665818,0.12060453783110546,0.23354968324845687,0.26650089544451305,0.0,0.23354968324845687,0.1709408646894569,0.0,0.21938172723813917,0.0
6,0.0,0.0816496580927726,0.0,0.0,0.0,0.38138503569823695,0.0,0.055048188256318034,0.11180339887498948,0.06454972243679029,0.0,0.0,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14142135623730948
7,0.05063696835418333,0.04714045207910317,0.0,0.0,0.0837707816583391,0.0,0.0,0.7627700713964738,0.06454972243679027,0.037267799624996496,0.0816496580927726,0.0,0.2921186973360886,0.0,0.0,0.0,0.04714045207910317,0.0,0.09128709291752768,0.0,0.0816496580927726
8,0.0,0.09128709291752767,0.09805806756909201,0.0,0.0,0.0,0.0,0.06154574548966636,0.8749999999999998,0.21650635094610968,0.0,0.1414213562373095,0.1414213562373095,0.0,0.12499999999999997,0.0,0.18257418583505533,0.0,0.0,0.08574929257125441,0.15811388300841897
9,0.08882311833686551,0.12403473458920844,0.08882311833686551,0.13323467750529827,0.146943671674129,0.09656090991705352,0.0826898230594723,0.0,0.16984155512168936,0.6210344279375828,0.0,0.2882306768491569,0.09607689228305229,0.12403473458920844,0.3962969619506085,0.0,0.1653796461189446,0.09078412990032035,0.0,0.15534712747612348,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778498944161523,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5477225575051661,0.0,0.0,0.22360679774997896,0.0,0.0
