fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.35856858280031806,0.11952286093343936,0.047673129462279626,0.10540925533894598,0.43041423101055837,0.07905694150420949,0.23008949665421113,0.0,0.0,0.0670401523153991,0.0,0.0,0.05590169943749474,0.11952286093343936,0.0
2,0.11952286093343936,0.0,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.0,0.033520076157699544,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12239801227242092,0.0,0.0,0.0,0.0,0.0
4,0.0,0.2672612419124244,0.07106690545187015,0.07856742013183861,0.0,0.0,0.0,0.0,0.0,0.09993755853278154,0.0,0.0,0.08333333333333333,0.0,0.0
5,0.3273268353539886,0.0,0.08703882797784893,0.09622504486493763,0.09245003270420486,0.0,0.2100420126042015,0.0,0.0,0.12239801227242092,0.0,0.0,0.10206207261596574,0.1091089451179962,0.0
6,0.22428065200812833,0.13456839120487699,0.0,0.07911877721292357,0.0,0.0,0.11513473250068076,0.05307448924342753,0.0,0.012579860417159174,0.039559388606461784,0.0,0.0,0.13456839120487699,0.0
7,0.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.0,0.0
8,0.061313933948496595,0.42919753763947616,0.14673479641335557,0.0,0.0,0.0,0.0,0.0,0.0,0.2751269799843636,0.0,0.0,0.1147078669352809,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06704015231539909,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.30151134457776363,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.14133305066751467,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.12309149097933275,0.0,0.06537204504606135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.20965696734438366,0.0,0.0,0.18490006540840973,0.0,0.0,0.13453455879926252,0.0,0.0,0.02939905160189274,0.0,0.0,0.0,0.20965696734438366,0.0
14,0.16903085094570328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18961818525599092,0.0,0.0,0.0,0.0,0.0
15,0.11952286093343936,0.0,0.09534625892455924,0.10540925533894598,0.0,0.0,0.07669649888473704,0.0,0.0,0.033520076157699544,0.0,0.35856858280031806,0.0,0.11952286093343936,0.0
16,0.0,0.0,0.0,0.1178511301977579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13363062095621217,0.0,0.0,0.0
17,0.062136976600120006,0.18641092980036,0.0,0.1095993248702382,0.0,0.0,0.039872611141445004,0.0,0.05812381937190964,0.017426257801887123,0.0,0.0,0.05812381937190964,0.062136976600120006,0.0
18,0.1951800145897067,0.09759000729485336,0.07784989441615231,0.12909944487358063,0.0,0.0,0.09393364366277243,0.0,0.0,0.0,0.0,0.0,0.09128709291752772,0.14638501094228004,0.04879500364742668
