it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.09166984970282112,0.0,0.0,0.08084520834544433,0.4660413824283704,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.09166984970282112,0.0
2,0.16903085094570328,0.25354627641855493,0.0,0.07453559924999299,0.0,0.0,0.16269784336399212,0.0,0.0,0.16591591209899204,0.0,0.0,0.0,0.08451542547285164,0.0
3,0.06900655593423542,0.0,0.0,0.0,0.0,0.0,0.08856148855400953,0.0,0.0,0.01935282499290459,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.15339299776947407,0.14142135623730948,0.0,0.0,0.10540925533894598,0.0,0.0,0.0,0.0
5,0.1259881576697424,0.0,0.0,0.1111111111111111,0.0,0.0,0.08084520834544433,0.0,0.1178511301977579,0.0,0.0,0.0,0.0,0.1259881576697424,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.19802950859533489,0.18257418583505536,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0
7,0.11396057645963795,0.11396057645963795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.24743582965269675,0.1649572197684645,0.0657951694959769,0.21821789023599236,0.0,0.1091089451179962,0.10585122480499262,0.0,0.0,0.092524200411845,0.0,0.08247860988423225,0.07715167498104596,0.1649572197684645,0.0
9,0.07559289460184544,0.22677868380553634,0.06030226891555273,0.0,0.0,0.0,0.0,0.0,0.0,0.31799936400190804,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.07066652533375734,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.24174688920761409,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.11331853993401472,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1259881576697424,0.0,0.0,0.1111111111111111,0.0,0.0,0.08084520834544433,0.0,0.0,0.03533326266687867,0.0,0.0,0.0,0.1259881576697424,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06704015231539909,0.10540925533894598,0.0,0.0,0.0,0.0
16,0.0,0.0,0.11396057645963795,0.0,0.0,0.0,0.0,0.0,0.0,0.0400641540107502,0.0,0.14285714285714285,0.0,0.0,0.0
17,0.0,0.0,0.0,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
18,0.06788442333021306,0.27153769332085226,0.0,0.11973686801784995,0.0,0.0,0.04356068418690322,0.0,0.06350006350009525,0.0,0.0,0.0,0.06350006350009525,0.06788442333021306,0.06788442333021306
19,0.2807449625374386,0.0,0.0,0.12379689211803459,0.0,0.0,0.090075469822209,0.0,0.0,0.07873466591789563,0.0,0.0,0.0,0.1403724812687193,0.0
20,0.33407655239053047,0.13363062095621217,0.0,0.1178511301977579,0.0,0.0,0.08574929257125441,0.0,0.0,0.14990633779917228,0.0,0.0,0.0,0.20044593143431827,0.0
