it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.043478260869565216,0.0,0.0,0.045454545454545456,0.2571428571428571,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
2,0.09090909090909091,0.14285714285714285,0.0,0.045454545454545456,0.0,0.0,0.07692307692307693,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.043478260869565216,0.0
3,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07142857142857142,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
5,0.06666666666666667,0.0,0.0,0.07142857142857142,0.0,0.0,0.05263157894736842,0.0,0.0625,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
7,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.08695652173913043,0.08695652173913043,0.03571428571428571,0.09090909090909091,0.0,0.047619047619047616,0.03571428571428571,0.0,0.0,0.07547169811320754,0.0,0.041666666666666664,0.04,0.041666666666666664,0.0
9,0.03571428571428571,0.11538461538461539,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.12962962962962962,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.08695652173913043,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.06666666666666667,0.0,0.0,0.07142857142857142,0.0,0.0,0.05263157894736842,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.06666666666666667,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.05555555555555555,0.0,0.0,0.0,0.0
16,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.07692307692307693,0.0,0.0,0.0
17,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
18,0.03225806451612903,0.06666666666666667,0.0,0.06896551724137931,0.0,0.0,0.02857142857142857,0.0,0.03125,0.0,0.0,0.0,0.03125,0.03225806451612903,0.03225806451612903
19,0.1,0.0,0.0,0.03225806451612903,0.0,0.0,0.027777777777777776,0.0,0.0,0.015625,0.0,0.0,0.0,0.03125,0.0
20,0.1,0.06451612903225806,0.0,0.03225806451612903,0.0,0.0,0.027777777777777776,0.0,0.0,0.015625,0.0,0.0,0.0,0.06451612903225806,0.0
