de.it,1,2,3,4,5,6
1,0.06428243465332249,0.0,0.0,0.0,0.09304842103984709,0.0
2,0.3481553119113957,0.0,0.0,0.0,0.0,0.0
3,0.06917144638660747,0.0,0.0,0.0,0.05006261743217588,0.10814761408717503
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.10050378152592121,0.0,0.0,0.0,0.07273929674533079,0.0
6,0.0,0.0,0.14433756729740646,0.11785113019775793,0.0,0.0
7,0.11396057645963795,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.23570226039551587,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.17407765595569785,0.0,0.0,0.0
12,0.0,0.0,0.14433756729740646,0.0,0.0,0.0
13,0.0,0.0,0.19245008972987526,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.10050378152592121,0.0,0.09622504486493763,0.07856742013183861,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.09534625892455924,0.11952286093343936,0.0,0.14907119849998599,0.13801311186847084,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.12909944487358055,0.10540925533894598,0.0,0.0
24,0.0,0.0,0.0,0.3563483225498992,0.0,0.0
25,0.0,0.0,0.08703882797784893,0.2842676218074806,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.13608276348795434
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.09128709291752768,0.0,0.0,0.0
31,0.0,0.0,0.08703882797784893,0.0,0.0,0.0
32,0.0,0.0,0.11785113019775793,0.09622504486493764,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.09128709291752768,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0657951694959769,0.0
39,0.0,0.0,0.11785113019775793,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.08247860988423225,0.0
41,0.0,0.0,0.0,0.0,0.06900655593423542,0.14907119849998599
42,0.10050378152592121,0.0,0.0,0.0,0.0,0.07856742013183861
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.10660035817780521,0.0,0.0,0.0,0.0,0.0
45,0.08703882797784893,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0890870806374748,0.0,0.0
47,0.0,0.0,0.0,0.07453559924999299,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.08703882797784893,0.1091089451179962,0.0,0.0,0.18898223650461363,0.0
56,0.05598925109558543,0.07018624063435965,0.0,0.0,0.24313226954193234,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.07312724241271307,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.4629100498862757,0.08333333333333333
61,0.0,0.0,0.0,0.0,0.08908708063747481,0.0
62,0.0,0.0,0.0,0.0,0.29095718698132317,0.0
63,0.0,0.0,0.0,0.0,0.0657951694959769,0.07106690545187015
64,0.09090909090909091,0.0,0.0,0.0,0.0657951694959769,0.0
65,0.08703882797784893,0.0,0.0,0.0,0.12598815766974242,0.0
66,0.0,0.0,0.0,0.07106690545187015,0.0657951694959769,0.07106690545187015
67,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.17817416127494962,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0890870806374748
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.06537204504606135
76,0.0,0.0,0.0,0.0,0.1690308509457033,0.12171612389003691
77,0.02741012223434216,0.0,0.0,0.0,0.19837990021453858,0.042854956435548354
78,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0
81,0.13483997249264842,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.10585122480499262,0.05716619504750295
83,0.0,0.0,0.0,0.0,0.0,0.0
84,0.10660035817780521,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.1126872339638022,0.0
86,0.12309149097933275,0.1543033499620919,0.0,0.0,0.2672612419124244,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.06804138174397717,0.11111111111111113,0.051434449987363975,0.0
89,0.0,0.0,0.0,0.0,0.0,0.11785113019775793
90,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.08703882797784893,0.07106690545187015,0.0,0.0
96,0.0,0.0,0.0,0.0,0.1649572197684645,0.0
97,0.10050378152592121,0.1259881576697424,0.0,0.0,0.21821789023599236,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0
101,0.09534625892455924,0.0,0.09128709291752768,0.07453559924999299,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0
103,0.1709408646894569,0.2857142857142857,0.0,0.0,0.37115374447904514,0.0
104,0.0,0.2182178902359924,0.0,0.13608276348795434,0.0,0.0
105,0.0,0.0,0.0,0.0,0.07715167498104596,0.0
106,0.0,0.0,0.0,0.0,0.08908708063747481,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.12598815766974242,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.08247860988423225,0.0
