de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.25,0.0,0.041666666666666664,0.0,0.058823529411764705,0.0,0.125,0.0,0.0,0.038461538461538464,0.043478260869565216,0.047619047619047616,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.09523809523809523,0.07142857142857142,0.0,0.0,0.0,0.125,0.0,0.0,0.10526315789473684,0.05555555555555555,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.125,0.0,0.03125,0.045454545454545456,0.08333333333333333,0.0,0.08333333333333333,0.05263157894736842,0.0,0.09375,0.06666666666666667,0.07142857142857142,0.0,0.04,0.04,0.0,0.0,0.0,0.06896551724137931,0.15,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.03571428571428571,0.038461538461538464,0.1875
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.038461538461538464,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.045454545454545456,0.0
6,0.0,0.0,0.18181818181818182,0.06666666666666667,0.11764705882352941,0.0,0.0,0.0,0.0,0.037037037037037035,0.041666666666666664,0.045454545454545456,0.0,0.11764705882352941,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
7,0.0,0.0,0.08333333333333333,0.14285714285714285,0.11764705882352941,0.0,0.05555555555555555,0.0,0.0,0.037037037037037035,0.041666666666666664,0.045454545454545456,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.037037037037037035,0.0
9,0.0,0.0,0.043478260869565216,0.07692307692307693,0.0625,0.0,0.0625,0.0,0.0,0.0,0.045454545454545456,0.05,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
