de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.3999999999999999,0.0,0.09325048082403138,0.0,0.12403473458920847,0.0,0.24806946917841693,0.0,0.0,0.07254762501100116,0.1025978352085154,0.09999999999999998,0.0,0.0,0.0,0.0,0.13483997249264842,0.0,0.21081851067789195,0.24806946917841693,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.22360679774997896,0.11952286093343936,0.18257418583505536
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.33541019662496846,0.0,0.05212860351426869,0.07905694150420949,0.1386750490563073,0.0,0.20801257358446093,0.0944911182523068,0.0,0.1216660658480719,0.1720618004029213,0.16770509831248423,0.0,0.06933752452815364,0.11470786693528087,0.0,0.0,0.0,0.1767766952966369,0.41602514716892186,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.1336306209562122,0.3061862178478973
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.14907119849998599,0.0,0.0,0.0,0.0,0.0,0.18490006540840973,0.0,0.0,0.0,0.07647191129018724,0.0,0.0,0.0,0.07647191129018724,0.0,0.0,0.0,0.07856742013183861,0.18490006540840973,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0890870806374748,0.0
6,0.0,0.0,0.42562826537937437,0.12909944487358058,0.22645540682891918,0.0,0.0,0.0,0.0,0.06622661785325219,0.0936585811581694,0.09128709291752768,0.0,0.22645540682891918,0.1873171623163388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596577,0.0,0.0
7,0.0,0.0,0.2553769592276246,0.25819888974716115,0.22645540682891918,0.0,0.11322770341445959,0.0,0.0,0.06622661785325219,0.0936585811581694,0.09128709291752768,0.0,0.11322770341445959,0.1873171623163388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.21693045781865616,0.0,0.0,0.0,0.0,0.0,0.20180183819889375,0.0,0.0,0.0,0.11128297681493142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17149858514250885,0.26906911759852503,0.0,0.0,0.0,0.0,0.0,0.0,0.12126781251816648,0.12964074471043288,0.0
9,0.0,0.0,0.10425720702853739,0.15811388300841897,0.1386750490563073,0.0,0.1386750490563073,0.0,0.0,0.0,0.11470786693528087,0.11180339887498948,0.0,0.1386750490563073,0.22941573387056174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
