fr.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.16502459049611237,0.0,0.07856742013183861,0.0,0.08606629658238703,0.07273929674533079,0.058025885318565944,0.0,0.1360827634879543,0.09622504486493763,0.0,0.07273929674533079
3,0.2970442628930023,0.0,0.11785113019775793,0.1091089451179962,0.2581988897471611,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.35355339059327373,0.0,0.0,0.0,0.0,0.21320071635561041,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280056016805602,0.0,0.0,0.0,0.0
10,0.09901475429766744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.2360668426093901,0.0,0.1873171623163388,0.08671099695241198,0.2051956704170308,0.08671099695241198,0.0,0.0,0.0,0.0,0.0,0.0
12,0.44986770542121873,0.0,0.2519763153394849,0.2916059217599022,0.48304589153964805,0.34992710611188266,0.2326210525996178,0.0,0.0,0.0,0.06299407883487122,0.0
13,0.1273859510596964,0.09284766908852593,0.0,0.0,0.08304547985373997,0.07018624063435965,0.22395700438234173,0.0,0.13130643285972254,0.18569533817705186,0.07580980435789035,0.0
14,0.15339299776947407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.12427395320024001,0.0,0.0,0.0,0.0,0.1342312110428049,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.2970442628930023,0.0,0.11785113019775793,0.1091089451179962,0.2581988897471611,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.08451542547285164,0.0,0.0,0.0,0.0,0.09128709291752768,0.33806170189140655
19,0.0,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.13608276348795434,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
