fr.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1724137931034483,0.0,0.034482758620689655,0.0,0.03571428571428571,0.03333333333333333,0.029411764705882353,0.0,0.04,0.037037037037037035,0.0,0.03333333333333333
3,0.11764705882352941,0.0,0.07142857142857142,0.06666666666666667,0.16666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.2,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
10,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.07407407407407407,0.0,0.08695652173913043,0.04,0.09090909090909091,0.04,0.0,0.0,0.0,0.0,0.0,0.0
12,0.05555555555555555,0.0,0.0625,0.09375,0.13793103448275862,0.16666666666666666,0.11428571428571428,0.0,0.0,0.0,0.030303030303030304,0.0
13,0.11428571428571428,0.03125,0.0,0.0,0.030303030303030304,0.02857142857142857,0.1111111111111111,0.0,0.03333333333333333,0.06451612903225806,0.029411764705882353,0.0
14,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0625,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1,0.0,0.058823529411764705,0.05555555555555555,0.13333333333333333,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.04,0.17391304347826086
19,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.07142857142857142,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
