de.en,1,2,3,4,5,6,7,8,9,10
1,0.760638829255665,0.0,0.0,0.0,0.062017367294604234,0.04938647983247948,0.062017367294604234,0.09128709291752768,0.17928429140015903,0.0975900072948533
2,0.3223291856101521,0.10050378152592121,0.0,0.0,0.0,0.04708816093480111,0.0,0.0,0.05698028822981897,0.09304842103984709
3,0.0,0.0,0.0,0.0,0.0,0.0,0.09805806756909202,0.0,0.0,0.0
4,0.23145502494313788,0.09622504486493763,0.0,0.0,0.0,0.04508348173337162,0.0,0.0,0.0545544725589981,0.0890870806374748
5,0.1690308509457033,0.0,0.0,0.0,0.062017367294604234,0.04938647983247948,0.062017367294604234,0.09128709291752768,0.17928429140015903,0.0975900072948533
6,0.08058229640253803,0.0,0.0,0.22613350843332272,0.0,0.0,0.0,0.08703882797784893,0.0,0.0
7,0.0,0.0,0.0,0.4244373438135827,0.04756514941544941,0.0,0.0,0.0700140042014005,0.0,0.0
8,0.3086066999241839,0.0,0.20412414523193148,0.0,0.16984155512168939,0.13525044520011487,0.11322770341445959,0.08333333333333334,0.1636634176769943,0.0890870806374748
9,0.0,0.0,0.0,0.0,0.09805806756909202,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.17400443716972244,0.0,0.0,0.0,0.0
11,0.0668153104781061,0.0,0.0,0.0,0.0,0.07808688094430304,0.0,0.0,0.0,0.0
12,0.12262786789699315,0.0,0.0,0.0,0.04499212706658475,0.07165743639000186,0.2699527623995085,0.13245323570650439,0.13006649542861798,0.07079923254047886
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054554472558998084
14,0.07412493166611013,0.0,0.0,0.0,0.0,0.0,0.05439282932204212,0.08006407690254358,0.3144854510165755,0.042796049251091296
15,0.0,0.0,0.0,0.0,0.0,0.10411584125907071,0.0,0.0,0.0,0.0
16,0.3450327796711771,0.08606629658238703,0.18257418583505533,0.0,0.05063696835418333,0.0,0.05063696835418333,0.07453559924999299,0.14638501094227996,0.07968190728895957
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.12403473458920847,0.14815943949743846,0.062017367294604234,0.0,0.0,0.0
19,0.0,0.10050378152592121,0.21320071635561041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.1583891032045364,0.0,0.0,0.0,0.0
21,0.17928429140015903,0.07453559924999299,0.0,0.0,0.043852900965351466,0.06984302957695782,0.17541160386140586,0.2581988897471611,0.16903085094570328,0.13801311186847084
22,0.15430334996209194,0.09622504486493763,0.0,0.0,0.056613851707229795,0.0,0.11322770341445959,0.08333333333333334,0.1636634176769943,0.1336306209562122
23,0.06900655593423542,0.08606629658238703,0.0,0.0,0.0,0.0,0.05063696835418333,0.07453559924999299,0.2927700218845599,0.07968190728895957
24,0.0,0.0,0.0,0.0,0.08559209850218259,0.1363196353181994,0.08559209850218259,0.12598815766974242,0.0,0.0
25,0.1649572197684645,0.0,0.0,0.0,0.0,0.16868694244915797,0.0,0.0,0.05832118435198043,0.047619047619047616
26,0.0,0.0,0.0,0.0,0.10127393670836667,0.16129556770910236,0.10127393670836667,0.14907119849998599,0.0,0.0
