de.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.12903225806451613,0.07407407407407407,0.06060606060606061,0.05714285714285714,0.15384615384615385,0.09523809523809523,0.125
2,0.0,0.0,0.0,0.0,0.045454545454545456,0.13333333333333333,0.037037037037037035,0.0625,0.0,0.07692307692307693,0.047619047619047616,0.13333333333333333
3,0.0,0.0,0.0,0.0,0.058823529411764705,0.06818181818181818,0.05128205128205128,0.021739130434782608,0.0,0.038461538461538464,0.029411764705882353,0.07142857142857142
4,0.16666666666666666,0.0,0.0,0.0,0.1,0.1,0.08,0.06451612903225806,0.06060606060606061,0.18181818181818182,0.10526315789473684,0.14285714285714285
5,0.15384615384615385,0.0,0.0,0.0,0.09523809523809523,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
6,0.043478260869565216,0.0,0.0,0.0,0.03225806451612903,0.04878048780487805,0.0,0.075,0.022727272727272728,0.045454545454545456,0.0,0.04
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.047619047619047616,0.0
8,0.0,0.038461538461538464,0.0,0.0,0.0,0.11764705882352941,0.0,0.05555555555555555,0.08108108108108109,0.058823529411764705,0.0,0.05
9,0.07142857142857142,0.0,0.0,0.0,0.0,0.030303030303030304,0.037037037037037035,0.030303030303030304,0.02857142857142857,0.07692307692307693,0.1,0.0625
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.04,0.0,0.0,0.0,0.027777777777777776,0.06896551724137931,0.08823529411764706,0.0,0.0,0.0,0.05263157894736842
12,0.17647058823529413,0.037037037037037035,0.0,0.0,0.12,0.08333333333333333,0.03125,0.02631578947368421,0.025,0.05555555555555555,0.038461538461538464,0.047619047619047616
13,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0
14,0.16666666666666666,0.0,0.0,0.0,0.047619047619047616,0.06451612903225806,0.08,0.06451612903225806,0.06060606060606061,0.18181818181818182,0.10526315789473684,0.14285714285714285
15,0.0,0.041666666666666664,0.0,0.05,0.08695652173913043,0.02857142857142857,0.034482758620689655,0.058823529411764705,0.02702702702702703,0.06666666666666667,0.043478260869565216,0.05555555555555555
16,0.05263157894736842,0.12,0.0,0.0,0.037037037037037035,0.11428571428571428,0.1,0.11428571428571428,0.05128205128205128,0.11764705882352941,0.08,0.2222222222222222
