Topic, Languages, Max value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Cytinus hypocistis,it.de,0.4,11,16,63.63636363636363,43.75,yes,yes,yes,yes
Cytinus hypocistis,it.fr,0.16666666666666666,11,5,18.181818181818183,40.0,yes,no,no,no
Cytinus hypocistis,it.en,0.0,11,5,0.0,0.0,no,no,no,no
Pinus jeffreyi,it.de,0.0,6,110,0.0,0.0,no,no,no,no
Pinus jeffreyi,it.fr,0.30434782608695654,6,5,33.33333333333333,40.0,yes,no,no,no
Pinus jeffreyi,it.en,0.47619047619047616,6,19,66.66666666666666,21.052631578947366,yes,no,no,no
Verbascum nigrum,it.de,0.21428571428571427,7,13,85.71428571428571,46.15384615384615,yes,yes,no,no
Verbascum nigrum,it.fr,0.0,7,8,0.0,0.0,no,no,no,no
Verbascum nigrum,it.en,0.0,7,2,0.0,0.0,no,no,no,no
Pinus koraiensis,it.de,0.10526315789473684,12,87,16.666666666666664,2.2988505747126435,yes,no,no,no
Pinus koraiensis,it.fr,0.21739130434782608,12,3,25.0,100.0,yes,yes,no,no
Pinus koraiensis,it.en,0.3333333333333333,12,12,33.33333333333333,33.33333333333333,yes,no,no,no
Nigella damascena,it.de,0.6666666666666666,8,78,50.0,5.128205128205128,yes,yes,yes,no
Nigella damascena,it.fr,0.2,8,12,25.0,16.666666666666664,yes,no,no,no
Nigella damascena,it.en,0.10526315789473684,8,21,25.0,9.523809523809524,yes,no,no,no
Acanthus mollis,it.de,0.0,10,22,0.0,0.0,no,no,no,no
Acanthus mollis,it.fr,0.23529411764705882,10,30,50.0,16.666666666666664,yes,yes,no,no
Acanthus mollis,it.en,0.3,10,23,70.0,30.434782608695656,yes,yes,yes,no
Spergularia media,it.de,0.26666666666666666,11,13,36.36363636363637,30.76923076923077,yes,yes,yes,no
Spergularia media,it.en,0.2,11,7,18.181818181818183,28.57142857142857,yes,no,no,no
Pinus densiflora,de.fr,0.2857142857142857,35,7,5.714285714285714,28.57142857142857,yes,no,no,no
Pinus densiflora,de.en,0.21428571428571427,35,8,8.571428571428571,37.5,yes,yes,no,no
Pinus ayacahuite,it.de,0.3333333333333333,13,11,30.76923076923077,36.36363636363637,yes,yes,yes,no
Pinus ayacahuite,it.fr,0.38636363636363635,13,14,53.84615384615385,50.0,yes,yes,yes,yes
Pinus ayacahuite,it.en,0.2916666666666667,13,16,46.15384615384615,37.5,yes,no,no,no
Consolida regalis,it.de,0.06666666666666667,7,28,28.57142857142857,7.142857142857142,yes,no,no,no
Consolida regalis,it.fr,0.3,7,15,57.14285714285714,26.666666666666668,yes,no,no,no
Consolida regalis,it.en,0.4,7,19,71.42857142857143,26.31578947368421,yes,yes,no,no
