it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,0.12280701754385964,0.01818181818181818,0.07407407407407407,0.2441860465116279,0.03571428571428571,0.03571428571428571,0.017241379310344827,0.01639344262295082,0.13793103448275862,0.0,0.10344827586206896,0.05,0.08064516129032258,0.03773584905660377,0.031746031746031744,0.046875,0.03333333333333333,0.04918032786885246,0.05357142857142857,0.056338028169014086,0.031746031746031744,0.0,0.078125,0.03636363636363636,0.05,0.08771929824561403,0.034482758620689655,0.05263157894736842,0.016666666666666666,0.030303030303030304,0.011764705882352941,0.03333333333333333,0.0,0.07272727272727272,0.03571428571428571,0.056818181818181816,0.07407407407407407,0.05970149253731343,0.031746031746031744,0.018518518518518517,0.014285714285714285,0.05714285714285714,0.0,0.0,0.0,0.037037037037037035,0.03076923076923077,0.03076923076923077,0.045454545454545456,0.018867924528301886,0.0,0.06944444444444445,0.0,0.017543859649122806,0.0,0.041666666666666664,0.015384615384615385,0.02631578947368421,0.011764705882352941,0.02702702702702703,0.05263157894736842,0.06896551724137931,0.015625,0.0
2,0.08823529411764706,0.0,0.06896551724137931,0.02564102564102564,0.19230769230769232,0.03333333333333333,0.0,0.029411764705882353,0.08333333333333333,0.0,0.027777777777777776,0.02857142857142857,0.05263157894736842,0.0,0.0,0.08108108108108109,0.06060606060606061,0.08823529411764706,0.06666666666666667,0.06666666666666667,0.11764705882352941,0.0,0.05,0.1111111111111111,0.125,0.029411764705882353,0.06451612903225806,0.03125,0.0,0.0,0.017241379310344827,0.029411764705882353,0.0,0.0,0.03333333333333333,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.05,0.038461538461538464,0.0,0.041666666666666664,0.0,0.03333333333333333,0.0,0.043478260869565216,0.02631578947368421,0.02,0.0,0.020833333333333332,0.03125,0.06060606060606061,0.0,0.0
3,0.08108108108108109,0.0,0.0625,0.024691358024691357,0.030303030303030304,0.0967741935483871,0.0,0.0,0.05,0.0,0.0,0.02631578947368421,0.023809523809523808,0.0,0.0,0.023809523809523808,0.02702702702702703,0.02564102564102564,0.029411764705882353,0.0625,0.05128205128205128,0.0,0.07142857142857142,0.03125,0.11428571428571428,0.05555555555555555,0.0,0.02857142857142857,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.030303030303030304,0.029850746268656716,0.0,0.044444444444444446,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.034482758620689655,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.02857142857142857,0.02702702702702703,0.0,0.0
4,0.0,0.0,0.0,0.014084507042253521,0.045454545454545456,0.0,0.043478260869565216,0.0,0.14814814814814814,0.15789473684210525,0.07407407407407407,0.07692307692307693,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.02,0.0,0.0,0.043478260869565216,0.0,0.017543859649122806,0.0196078431372549,0.02857142857142857,0.0,0.0,0.02857142857142857,0.02631578947368421,0.0,0.0,0.0,0.05,0.03225806451612903,0.03225806451612903,0.030303030303030304,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.038461538461538464,0.0,0.0
5,0.0625,0.0,0.037037037037037035,0.0547945205479452,0.037037037037037035,0.0,0.03571428571428571,0.03225806451612903,0.09090909090909091,0.0,0.030303030303030304,0.03125,0.08823529411764706,0.041666666666666664,0.029411764705882353,0.05714285714285714,0.06666666666666667,0.0625,0.07407407407407407,0.046511627906976744,0.06060606060606061,0.0,0.05405405405405406,0.038461538461538464,0.1,0.06666666666666667,0.034482758620689655,0.034482758620689655,0.03333333333333333,0.02702702702702703,0.01818181818181818,0.03225806451612903,0.0,0.03571428571428571,0.037037037037037035,0.03278688524590164,0.017857142857142856,0.025,0.0,0.0,0.025,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.043478260869565216,0.0,0.06818181818181818,0.0,0.0,0.0,0.046511627906976744,0.0,0.043478260869565216,0.037037037037037035,0.045454545454545456,0.1111111111111111,0.03225806451612903,0.0,0.0
6,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.2857142857142857,0.2,0.08695652173913043,0.2631578947368421,0.2727272727272727,0.0,0.04,0.0,0.0,0.0,0.0,0.02857142857142857,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.038461538461538464,0.02127659574468085,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.05263157894736842,0.05555555555555555,0.045454545454545456,0.0,0.0,0.045454545454545456,0.058823529411764705,0.05263157894736842,0.07142857142857142,0.03333333333333333,0.05,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0
8,0.05,0.0,0.0,0.015873015873015872,0.0,0.0,0.06666666666666667,0.05555555555555555,0.15,0.07692307692307693,0.05,0.05263157894736842,0.14285714285714285,0.09090909090909091,0.047619047619047616,0.043478260869565216,0.05555555555555555,0.05,0.06666666666666667,0.06666666666666667,0.047619047619047616,0.0,0.04,0.07692307692307693,0.05263157894736842,0.05555555555555555,0.0,0.0625,0.125,0.041666666666666664,0.0,0.0,0.0,0.06666666666666667,0.0,0.02040816326530612,0.023255813953488372,0.037037037037037035,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0625,0.0,0.0,0.0,0.03225806451612903,0.0,0.029411764705882353,0.023809523809523808,0.03125,0.0625,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.037037037037037035,0.0,0.0,0.0,0.047619047619047616,0.0,0.045454545454545456,0.04,0.034482758620689655,0.0,0.037037037037037035,0.0,0.03333333333333333,0.0,0.07407407407407407,0.47619047619047616,0.04,0.037037037037037035,0.15,0.11428571428571428,0.16,0.0,0.1,0.05,0.08,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
