it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
2,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
4,0.04,0.0,0.0,0.05263157894736842,0.02127659574468085,0.038461538461538464,0.0,0.047619047619047616,0.0,0.02702702702702703,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.025,0.0
5,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0
7,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.02857142857142857
8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
9,0.0,0.05263157894736842,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.08,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.045454545454545456,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0625,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.3,0.0,0.03571428571428571,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.03225806451612903,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.05,0.0,0.0
15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.045454545454545456,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.02857142857142857
16,0.0,0.0,0.0,0.0,0.02564102564102564,0.05555555555555555,0.0,0.07692307692307693,0.0,0.034482758620689655,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.038461538461538464
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.023809523809523808,0.0,0.0,0.0,0.41304347826086957,0.023255813953488372,0.0,0.02631578947368421,0.0,0.03773584905660377,0.02631578947368421,0.046511627906976744,0.018867924528301886,0.05714285714285714,0.06666666666666667,0.0,0.017543859649122806,0.0196078431372549
19,0.0,0.0,0.0,0.0,0.075,0.4666666666666667,0.0,0.0,0.0,0.1,0.0,0.045454545454545456,0.0,0.07142857142857142,0.04,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.047619047619047616,0.058823529411764705,0.0
21,0.0,0.0,0.022727272727272728,0.0,0.08695652173913043,0.038461538461538464,0.0,0.020833333333333332,0.02127659574468085,0.04838709677419355,0.020833333333333332,0.1956521739130435,0.16363636363636364,0.09302325581395349,0.20833333333333334,0.0,0.0,0.0
22,0.0,0.041666666666666664,0.0,0.0,0.021739130434782608,0.04,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.034482758620689655,0.23809523809523808,0.0,0.0
23,0.05555555555555555,0.0,0.0,0.0,0.025,0.0,0.0,0.25,0.0,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.030303030303030304,0.0
24,0.08333333333333333,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.1,0.0,0.02702702702702703,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.20588235294117646,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0
26,0.0,0.0,0.0,0.09090909090909091,0.0196078431372549,0.03333333333333333,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
