it.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.14285714285714285,0.12121212121212122,0.0,0.018867924528301886,0.05,0.05555555555555555,0.136986301369863,0.16666666666666666,0.04285714285714286,0.046875,0.014492753623188406,0.03125
2,0.08823529411764706,0.09302325581395349,0.0,0.038461538461538464,0.09090909090909091,0.1111111111111111,0.05660377358490566,0.03636363636363636,0.045454545454545456,0.02564102564102564,0.04878048780487805,0.08333333333333333
3,0.05263157894736842,0.041666666666666664,0.0,0.034482758620689655,0.05405405405405406,0.06451612903225806,0.03508771929824561,0.05263157894736842,0.06521739130434782,0.023809523809523808,0.022222222222222223,0.05
4,0.03571428571428571,0.02631578947368421,0.0,0.0,0.07692307692307693,0.047619047619047616,0.02127659574468085,0.020833333333333332,0.0,0.0,0.0,0.0
5,0.030303030303030304,0.07317073170731707,0.0,0.0,0.1,0.038461538461538464,0.06,0.038461538461538464,0.04878048780487805,0.027777777777777776,0.02564102564102564,0.02857142857142857
6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.05,0.03333333333333333,0.0,0.0,0.1111111111111111,0.0,0.02564102564102564,0.0,0.034482758620689655,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.043478260869565216,0.0625,0.0,0.0,0.09523809523809523,0.0625,0.04878048780487805,0.023255813953488372,0.06451612903225806,0.038461538461538464,0.034482758620689655,0.04
12,0.10526315789473684,0.10714285714285714,0.0,0.0,0.1111111111111111,0.07692307692307693,0.02564102564102564,0.025,0.034482758620689655,0.043478260869565216,0.038461538461538464,0.045454545454545456
13,0.027777777777777776,0.044444444444444446,0.0,0.0,0.02857142857142857,0.0,0.01818181818181818,0.0,0.022222222222222223,0.0,0.0,0.0
14,0.11764705882352941,0.09090909090909091,0.0,0.037037037037037035,0.0,0.03333333333333333,0.03636363636363636,0.017543859649122806,0.021739130434782608,0.0,0.023255813953488372,0.02564102564102564
15,0.038461538461538464,0.05714285714285714,0.0,0.0,0.04,0.05263157894736842,0.045454545454545456,0.021739130434782608,0.02857142857142857,0.034482758620689655,0.06451612903225806,0.07407407407407407
16,0.08695652173913043,0.06060606060606061,0.0,0.0,0.09090909090909091,0.058823529411764705,0.023255813953488372,0.022727272727272728,0.030303030303030304,0.037037037037037035,0.03333333333333333,0.038461538461538464
17,0.08,0.05714285714285714,0.0,0.0625,0.04,0.1111111111111111,0.09523809523809523,0.044444444444444446,0.058823529411764705,0.034482758620689655,0.06451612903225806,0.11538461538461539
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.047619047619047616,0.0,0.0,0.2,0.0,0.07142857142857142,0.025,0.024390243902439025,0.03333333333333333,0.0,0.0,0.043478260869565216
20,0.12,0.02702702702702703,0.0,0.058823529411764705,0.038461538461538464,0.10526315789473684,0.044444444444444446,0.06666666666666667,0.05714285714285714,0.03333333333333333,0.030303030303030304,0.07142857142857142
21,0.13636363636363635,0.06060606060606061,0.0,0.07142857142857142,0.09090909090909091,0.125,0.047619047619047616,0.046511627906976744,0.0625,0.037037037037037035,0.03333333333333333,0.08
22,0.047619047619047616,0.018867924528301886,0.0,0.030303030303030304,0.023809523809523808,0.05714285714285714,0.05,0.04918032786885246,0.06,0.021739130434782608,0.02040816326530612,0.045454545454545456
23,0.08,0.08823529411764706,0.0,0.0625,0.08333333333333333,0.1111111111111111,0.06976744186046512,0.044444444444444446,0.058823529411764705,0.034482758620689655,0.06451612903225806,0.11538461538461539
24,0.19047619047619047,0.06060606060606061,0.06666666666666667,0.07142857142857142,0.043478260869565216,0.2857142857142857,0.047619047619047616,0.07142857142857142,0.0967741935483871,0.037037037037037035,0.03333333333333333,0.08
25,0.1111111111111111,0.034482758620689655,0.0,0.1111111111111111,0.05555555555555555,0.3,0.05405405405405406,0.05263157894736842,0.07407407407407407,0.045454545454545456,0.04,0.1
26,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.023809523809523808,0.0,0.04,0.0,0.0
27,0.037037037037037035,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.05128205128205128,0.02,0.0,0.03333333333333333,0.02564102564102564,0.0967741935483871,0.034482758620689655,0.03389830508474576,0.06382978723404255,0.023255813953488372,0.021739130434782608,0.04878048780487805
29,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.03773584905660377,0.01818181818181818,0.022727272727272728,0.05405405405405406,0.07692307692307693,0.05555555555555555
30,0.04,0.02857142857142857,0.0,0.0,0.0,0.0,0.022727272727272728,0.022222222222222223,0.0,0.0,0.03225806451612903,0.0
31,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.022727272727272728,0.022222222222222223,0.0,0.0,0.03225806451612903,0.037037037037037035
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.030303030303030304,0.0
34,0.023255813953488372,0.058823529411764705,0.0,0.0,0.0,0.0,0.03278688524590164,0.03225806451612903,0.0,0.021739130434782608,0.02040816326530612,0.022222222222222223
35,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.020833333333333332,0.0,0.03225806451612903,0.0,0.0
36,0.05263157894736842,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.029411764705882353,0.03571428571428571,0.06666666666666667,0.07692307692307693
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.04878048780487805,0.019230769230769232,0.0,0.03125,0.024390243902439025,0.058823529411764705,0.05084745762711865,0.05,0.04,0.022222222222222223,0.0425531914893617,0.07142857142857142
40,0.0196078431372549,0.03333333333333333,0.0,0.0,0.0,0.022727272727272728,0.05970149253731343,0.02857142857142857,0.016666666666666666,0.018518518518518517,0.017543859649122806,0.018867924528301886
41,0.14285714285714285,0.0625,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
