it.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.4713319914389922,0.3332820473366711,0.0,0.0,0.13999999999999999,0.3279566366999691,0.3047000250462049,0.3381611171859807,0.0,0.0,0.0,0.0
2,0.28128433856309726,0.1988980632395388,0.0,0.0,0.264575131106459,0.4507489358552088,0.24678382369818683,0.23669053416557542,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.07161148740394328,0.26688025634181184,0.10390486669322622,0.15695698526580623,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.2519763153394848,0.09197090092274487,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.05423261445466404,0.08084520834544433,0.11803342130469506,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.2581988897471611,0.09622504486493763,0.09365858115816941,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.09999999999999998,0.29814239699997197,0.2539166875385041,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.3849001794597505,0.0,0.2222222222222222,0.05407380704358752,0.09335200560186732,0.06666666666666667,0.0,0.0,0.0
20,0.0,0.0,0.0,0.14907119849998599,0.05773502691896257,0.2581988897471611,0.12565617248750865,0.18077538151554678,0.10327955589886445,0.0,0.0,0.0
21,0.0,0.0,0.0,0.14907119849998599,0.23094010767585027,0.2581988897471611,0.12565617248750865,0.14462030521243743,0.10327955589886445,0.0,0.0,0.0
22,0.0,0.0,0.0,0.1777046633277277,0.02294157338705617,0.23939494881986925,0.09986139979479093,0.12929913477618465,0.14363696929192157,0.0,0.0,0.0
23,0.0,0.0,0.0,0.140028008402801,0.10846522890932808,0.242535625036333,0.15737789507292674,0.13584712216226488,0.09701425001453319,0.0,0.0,0.0
24,0.0,0.0,0.0,0.2721655269759087,0.10540925533894598,0.6285393610547089,0.2294157338705618,0.2970442628930023,0.23570226039551587,0.0,0.0,0.0
25,0.0,0.0,0.0,0.2182178902359924,0.08451542547285164,0.5039526306789696,0.18394180184548975,0.21170244960998524,0.15118578920369088,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
