fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.5294117647058824,0.07142857142857142,0.14285714285714285,0.034482758620689655,0.0,0.0,0.05555555555555555,0.07142857142857142,0.07692307692307693,0.11538461538461539,0.04,0.0,0.0,0.0,0.0,0.08695652173913043
2,0.03571428571428571,0.65,0.125,0.0,0.03225806451612903,0.0,0.025,0.17857142857142858,0.0,0.03225806451612903,0.3181818181818182,0.1111111111111111,0.0,0.03333333333333333,0.21739130434782608,0.07692307692307693
3,0.10526315789473684,0.08695652173913043,0.5833333333333334,0.041666666666666664,0.0,0.0,0.06451612903225806,0.08695652173913043,0.09523809523809523,0.09090909090909091,0.10526315789473684,0.0,0.0,0.0,0.0,0.17647058823529413
4,0.037037037037037035,0.0,0.04,0.45454545454545453,0.03333333333333333,0.03225806451612903,0.02564102564102564,0.03225806451612903,0.07142857142857142,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
5,0.07407407407407407,0.0,0.08,0.06451612903225806,0.45454545454545453,0.06451612903225806,0.05128205128205128,0.0,0.06896551724137931,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.037037037037037035
6,0.0,0.0,0.0,0.03125,0.06666666666666667,0.43478260869565216,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.12
7,0.05263157894736842,0.023255813953488372,0.05555555555555555,0.023255813953488372,0.0,0.0,0.7333333333333333,0.0,0.05,0.04878048780487805,0.0,0.02,0.0,0.0,0.0,0.02631578947368421
8,0.034482758620689655,0.1724137931034483,0.07692307692307693,0.0,0.0,0.0,0.024390243902439025,0.7,0.03225806451612903,0.06451612903225806,0.2,0.24242424242424243,0.0,0.0,0.11538461538461539,0.07407407407407407
9,0.07407407407407407,0.0,0.08,0.03125,0.0,0.1,0.05128205128205128,0.03125,0.2916666666666667,0.06666666666666667,0.0,0.0,0.1111111111111111,0.0,0.0,0.16666666666666666
10,0.125,0.03333333333333333,0.08695652173913043,0.03333333333333333,0.034482758620689655,0.0,0.05405405405405406,0.03333333333333333,0.07407407407407407,0.36363636363636365,0.08,0.05555555555555555,0.0,0.20833333333333334,0.04,0.04
11,0.0,0.30434782608695654,0.14285714285714285,0.0,0.03571428571428571,0.0,0.0,0.2,0.0,0.07407407407407407,0.5294117647058824,0.15625,0.0,0.07692307692307693,0.3157894736842105,0.08695652173913043
12,0.0,0.11428571428571428,0.03125,0.0,0.02702702702702703,0.08333333333333333,0.0,0.18181818181818182,0.05714285714285714,0.05555555555555555,0.16666666666666666,0.5333333333333333,0.08333333333333333,0.05714285714285714,0.1724137931034483,0.0967741935483871
13,0.03571428571428571,0.06451612903225806,0.038461538461538464,0.06451612903225806,0.06666666666666667,0.0,0.025,0.0,0.03333333333333333,0.23076923076923078,0.07407407407407407,0.05263157894736842,0.0,0.631578947368421,0.07692307692307693,0.07692307692307693
14,0.0,0.20833333333333334,0.045454545454545456,0.0,0.037037037037037035,0.0,0.0,0.11538461538461539,0.0,0.037037037037037035,0.25,0.16129032258064516,0.0,0.08,0.6,0.043478260869565216
15,0.0,0.08333333333333333,0.1111111111111111,0.0,0.0,0.13043478260869565,0.0,0.08333333333333333,0.09090909090909091,0.0,0.1,0.0,0.18181818181818182,0.0,0.0,0.6153846153846154
