fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.6842105263157894,0.11128297681493142,0.3458572319330373,0.11128297681493142,0.0,0.0,0.17342199390482396,0.11128297681493142,0.23693955110363693,0.2867696673382022,0.06362847629757777,0.0,0.0,0.0,0.0,0.19867985355975656
2,0.057353933467640436,0.7882407813680822,0.22613350843332272,0.0,0.0625,0.0,0.0944911182523068,0.30316953129541624,0.0,0.0625,0.48536267169707553,0.2802242691589025,0.0,0.1563858105428061,0.36084391824351614,0.14433756729740646
3,0.24333213169614376,0.17149858514250882,0.7462025072446364,0.08574929257125441,0.0,0.0,0.13363062095621217,0.17149858514250882,0.18257418583505533,0.17677669529663687,0.19611613513818402,0.0,0.0,0.0,0.0,0.30618621784789724
4,0.05407380704358752,0.0,0.07106690545187015,0.5716619504750294,0.05892556509887897,0.05716619504750295,0.0445435403187374,0.05716619504750295,0.12171612389003691,0.05892556509887897,0.0,0.0,0.0,0.0,0.0,0.06804138174397717
5,0.1720618004029213,0.0,0.15075567228888181,0.12126781251816648,0.625,0.12126781251816648,0.0944911182523068,0.0,0.12909944487358055,0.125,0.0,0.0,0.0,0.05212860351426869,0.0,0.07216878364870323
6,0.0,0.0,0.0,0.06063390625908324,0.125,0.6063390625908325,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.25,0.0,0.0,0.21650635094610968
7,0.12565617248750865,0.08856148855400953,0.11009637651263607,0.04428074427700476,0.0,0.0,0.8625819491779427,0.0,0.09428090415820634,0.09128709291752768,0.0,0.029235267310234306,0.0,0.0,0.0,0.05270462766947299
8,0.05564148840746571,0.29411764705882354,0.14625448482542613,0.0,0.0,0.0,0.04583492485141056,0.8235294117647058,0.06262242910851494,0.12126781251816648,0.33633639699815626,0.3883678186903087,0.0,0.0,0.2100420126042015,0.140028008402801
9,0.1720618004029213,0.0,0.15075567228888181,0.06063390625908324,0.0,0.18190171877724973,0.0944911182523068,0.06063390625908324,0.45184805705753195,0.125,0.0,0.0,0.25,0.0,0.0,0.2886751345948129
10,0.27820744203732856,0.058823529411764705,0.21938172723813917,0.11764705882352941,0.06063390625908324,0.0,0.13750477455423168,0.058823529411764705,0.18786728732554484,0.5457051563317492,0.13453455879926252,0.15534712747612348,0.0,0.3540052161969216,0.0700140042014005,0.140028008402801
11,0.0,0.4708709557974188,0.25087260300212727,0.0,0.06933752452815364,0.0,0.0,0.33633639699815626,0.0,0.1386750490563073,0.6923076923076924,0.3997040325158948,0.0,0.23132597278649614,0.4803844614152615,0.16012815380508716
12,0.0,0.2613641051214193,0.10830607221477646,0.0,0.04490132550669373,0.13068205256070964,0.0,0.34848547349522574,0.09274777915203367,0.08980265101338746,0.3486948369707026,0.7189966356788134,0.1796053020267749,0.14980117725462766,0.3629330931556489,0.15554275420956382
13,0.05263157894736841,0.16692446522239712,0.06917144638660747,0.11128297681493142,0.1720618004029213,0.0,0.04335549847620599,0.0,0.05923488777590923,0.40147753427348304,0.19088542889273333,0.2204155075111935,0.0,0.8132202844993978,0.19867985355975656,0.13245323570650439
14,0.0,0.35007002100700246,0.08703882797784893,0.0,0.07216878364870323,0.0,0.0,0.2100420126042015,0.0,0.07216878364870323,0.4003203845127179,0.36980013081681945,0.0,0.24077170617153845,0.7500000000000001,0.08333333333333334
15,0.0,0.16169041669088866,0.20100756305184242,0.0,0.0,0.242535625036333,0.0,0.16169041669088866,0.17213259316477406,0.0,0.18490006540840973,0.0,0.3333333333333333,0.0,0.0,0.769800358919501
