de.it,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.0,0.0,0.0,0.0,0.2004459314343183,0.12598815766974242,0.0,0.0,0.050507627227610534,0.0890870806374748,0.0,0.0,0.07715167498104597
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.09622504486493764,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775793
4,0.3952847075210474,0.0,0.42426406871192845,0.22360679774997896,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.09128709291752768
5,0.2004459314343183,0.0,0.23904572186687872,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.16666666666666666,0.0,0.29814239699997197,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.15,0.0,0.2683281572999747,0.21213203435596426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.5051814855409226,0.06804138174397717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.053300179088902604,0.251259453814803,0.0,0.10660035817780521,0.16116459280507606,0.07106690545187015,0.0,0.05698028822981897,0.0
10,0.0,0.0,0.0,0.0,0.26650089544451305,0.0,0.0,0.0,0.08058229640253803,0.0,0.0,0.11396057645963795,0.0
11,0.0,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.07715167498104597,0.08333333333333334
