fr.en,1,2,3,4,5
1,0.5555555555555556,0.034482758620689655,0.043478260869565216,0.0,0.0
2,0.03333333333333333,0.375,0.0,0.0,0.0
3,0.045454545454545456,0.08695652173913043,0.46153846153846156,0.0,0.0
4,0.0,0.0,0.0,0.75,0.05
5,0.0,0.0,0.0,0.0,0.5333333333333333
