it.fr,1,2,3,4,5,6,7
1,0.0,0.0,0.2834733547569204,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.3563483225498992,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.21213203435596426
6,0.0,0.0,0.0,0.0,0.0,0.21081851067789195,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
