de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.11538461538461539,0.2222222222222222,0.08,0.13793103448275862,0.0,0.03125,0.025,0.1,0.06896551724137931,0.06666666666666667,0.11538461538461539,0.05263157894736842,0.0,0.03333333333333333,0.12,0.037037037037037035
2,0.09523809523809523,0.125,0.23529411764705882,0.038461538461538464,0.04,0.038461538461538464,0.029411764705882353,0.125,0.08695652173913043,0.13043478260869565,0.21052631578947367,0.030303030303030304,0.0,0.041666666666666664,0.15789473684210525,0.2222222222222222
3,0.10526315789473684,0.041666666666666664,0.11764705882352941,0.08695652173913043,0.0,0.08695652173913043,0.03125,0.041666666666666664,0.15,0.09090909090909091,0.05,0.0,0.09090909090909091,0.0,0.05263157894736842,0.05263157894736842
4,0.037037037037037035,0.06666666666666667,0.04,0.06666666666666667,0.0,0.03225806451612903,0.05263157894736842,0.0,0.07142857142857142,0.03333333333333333,0.0,0.0,0.05555555555555555,0.0,0.0,0.08
5,0.058823529411764705,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0
7,0.10526315789473684,0.041666666666666664,0.0,0.08695652173913043,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.10714285714285714,0.09375,0.07407407407407407,0.09375,0.0,0.0,0.22857142857142856,0.0,0.06451612903225806,0.0625,0.0,0.0,0.0,0.06451612903225806,0.0,0.034482758620689655
10,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.03333333333333333,0.045454545454545456,0.0,0.047619047619047616,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
11,0.06666666666666667,0.02857142857142857,0.07142857142857142,0.02857142857142857,0.029411764705882353,0.02857142857142857,0.047619047619047616,0.0,0.0625,0.20689655172413793,0.10344827586206896,0.04878048780487805,0.0,0.13333333333333333,0.03333333333333333,0.03333333333333333
12,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
13,0.0,0.14285714285714285,0.08333333333333333,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.12,0.02631578947368421,0.0,0.1111111111111111,0.125,0.17391304347826086
14,0.05263157894736842,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
15,0.14285714285714285,0.07692307692307693,0.1,0.21739130434782608,0.038461538461538464,0.037037037037037035,0.058823529411764705,0.0,0.08333333333333333,0.08,0.0,0.0,0.0,0.04,0.0,0.045454545454545456
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.04
19,0.0,0.0,0.0,0.0,0.043478260869565216,0.13636363636363635,0.03125,0.041666666666666664,0.0,0.043478260869565216,0.0,0.03225806451612903,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
21,0.0,0.03333333333333333,0.041666666666666664,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.1111111111111111,0.08,0.05555555555555555,0.0,0.11538461538461539,0.04,0.0
22,0.0,0.03225806451612903,0.0,0.0,0.03333333333333333,0.0,0.02564102564102564,0.0,0.0,0.03333333333333333,0.037037037037037035,0.05405405405405406,0.0,0.07142857142857142,0.125,0.038461538461538464
